Codigo Municipio,Densidad,Umbral
05237,5.84,Despoblado11
05238,15.67,Poblado
05239,2.82,Despoblado11
05240,109.28,Poblado
05241,58.39,Poblado
05242,28.11,Poblado
05243,2.13,Despoblado11
05244,7.48,Despoblado11
05245,4.44,Despoblado11
05246,3.61,Despoblado11
05247,4.52,Despoblado11
05249,10.86,Despoblado11
05251,1.93,Despoblado11
05252,3.44,Despoblado11
05253,5.61,Despoblado11
05254,10.37,Despoblado21
05256,7.36,Despoblado11
05257,4.02,Despoblado11
05258,6.82,Despoblado11
05259,8.99,Despoblado11
05260,2.61,Despoblado11
05261,6.98,Despoblado11
05262,10.41,Despoblado11
05263,3.48,Despoblado11
05264,5.76,Despoblado11
05265,5.73,Despoblado11
05266,2.95,Despoblado11
05267,2.83,Despoblado11
05901,3.52,Despoblado11
05902,5.46,Despoblado11
05903,5.26,Despoblado11
05904,2.35,Despoblado11
05905,10.24,Despoblado21
06001,10.0,Despoblado11
06002,86.67,Poblado
06003,39.51,Poblado
06004,12.44,Despoblado11
06005,76.83,Poblado
06006,7.77,Despoblado11
06007,6.42,Despoblado11
06008,22.75,Poblado
06009,13.11,Poblado
06010,18.12,Poblado
06011,205.42,Poblado
06012,81.42,Poblado
06013,12.7,Poblado
06014,15.47,Poblado
06015,104.56,Poblado
06016,25.7,Poblado
06017,5.57,Despoblado11
06018,9.07,Despoblado11
06019,18.05,Poblado
06020,22.64,Poblado
06021,14.87,Poblado
06022,16.4,Poblado
06023,11.29,Despoblado11
06024,20.28,Poblado
06025,783.69,Poblado
06026,13.83,Poblado
06027,13.8,Poblado
06028,18.74,Poblado
06029,6.24,Despoblado11
06030,1.31,Despoblado11
06031,13.56,Poblado
06032,7.05,Despoblado11
06033,11.74,Despoblado11
06034,4.26,Despoblado11
06035,8.75,Despoblado11
06036,13.21,Poblado
06037,29.43,Poblado
06038,23.81,Poblado
06039,26.8,Poblado
06040,28.52,Poblado
06041,34.85,Poblado
06042,24.45,Poblado
06043,24.45,Poblado
06044,66.36,Poblado
06045,56.67,Poblado
06046,88.11,Poblado
06047,45.81,Poblado
06048,4.88,Despoblado11
06049,14.61,Poblado
06050,20.33,Poblado
06051,10.28,Despoblado11
06052,18.6,Poblado
