Codigo Municipio,Nacimientos,Matrimonios,Defunciones
06020,14.0,3.0,30.0
06021,10.0,2.0,17.0
06022,21.0,10.0,30.0
06023,32.0,10.0,87.0
06024,9.0,3.0,28.0
06025,53.0,22.0,71.0
06026,5.0,3.0,10.0
06027,5.0,1.0,11.0
06028,38.0,19.0,57.0
06029,5.0,6.0,17.0
06030,0.0,0.0,4.0
06031,3.0,2.0,5.0
06032,0.0,2.0,0.0
06033,5.0,2.0,24.0
06034,0.0,0.0,3.0
06035,6.0,1.0,26.0
06036,54.0,19.0,108.0
06042,9.0,2.0,16.0
06037,12.0,4.0,26.0
06038,9.0,5.0,12.0
06039,9.0,10.0,28.0
06040,10.0,3.0,12.0
06041,6.0,3.0,10.0
06043,6.0,4.0,6.0
06044,447.0,159.0,280.0
06045,10.0,1.0,7.0
06046,12.0,4.0,18.0
06047,12.0,4.0,7.0
06048,7.0,1.0,16.0
06049,5.0,5.0,22.0
06050,39.0,17.0,59.0
06051,6.0,2.0,31.0
06052,36.0,17.0,53.0
06053,2.0,3.0,13.0
06054,75.0,21.0,77.0
06055,15.0,10.0,37.0
06056,2.0,0.0,6.0
06057,2.0,0.0,12.0
06058,22.0,5.0,16.0
06059,12.0,6.0,38.0
06060,56.0,18.0,77.0
06061,10.0,2.0,18.0
06062,5.0,1.0,7.0
06063,23.0,8.0,43.0
06064,6.0,4.0,18.0
06065,3.0,1.0,3.0
06066,7.0,1.0,25.0
06067,11.0,4.0,19.0
06068,4.0,0.0,8.0
06069,30.0,10.0,32.0
06070,87.0,29.0,71.0
06071,0.0,0.0,5.0
06073,5.0,2.0,19.0
06074,64.0,19.0,62.0
06072,38.0,10.0,19.0
06075,0.0,0.0,10.0
06076,5.0,1.0,16.0
06077,3.0,0.0,6.0
06078,2.0,2.0,9.0
06079,6.0,3.0,7.0
06080,11.0,7.0,30.0
06081,10.0,3.0,24.0
06082,6.0,1.0,9.0
06083,696.0,265.0,418.0
06084,11.0,0.0,13.0
06085,42.0,9.0,40.0
06086,5.0,5.0,18.0
06087,14.0,4.0,42.0
06088,164.0,47.0,161.0
06089,8.0,3.0,5.0
06090,6.0,2.0,18.0
06091,28.0,10.0,53.0
06092,5.0,2.0,10.0
06093,34.0,14.0,69.0
06094,11.0,7.0,21.0
06095,121.0,38.0,105.0
06096,0.0,0.0,7.0
06097,23.0,7.0,38.0
06098,7.0,6.0,6.0
06099,6.0,3.0,16.0
06100,4.0,1.0,25.0
06101,2.0,1.0,9.0
06102,8.0,1.0,14.0
06103,48.0,14.0,51.0
06104,7.0,0.0,6.0
06107,22.0,11.0,21.0
06108,24.0,10.0,26.0
06105,3.0,2.0,16.0
06106,2.0,0.0,10.0
06902,22.0,7.0,10.0
06109,38.0,19.0,63.0
06110,0.0,0.0,2.0
06111,6.0,4.0,2.0
06112,1.0,2.0,8.0
06113,39.0,11.0,30.0
06114,0.0,0.0,5.0
06115,12.0,3.0,14.0
06116,12.0,8.0,24.0
06117,16.0,7.0,14.0
06119,14.0,4.0,11.0
06123,43.0,22.0,50.0
06118,1.0,0.0,7.0
06120,40.0,20.0,48.0
06121,38.0,6.0,33.0
06122,84.0,33.0,78.0
06124,10.0,3.0,22.0
06125,5.0,1.0,28.0
06126,22.0,6.0,16.0
06127,29.0,11.0,42.0
06128,58.0,22.0,55.0
06129,5.0,2.0,9.0
06130,1.0,0.0,4.0
06131,8.0,4.0,12.0
06132,3.0,6.0,10.0
06133,36.0,12.0,10.0
06134,0.0,0.0,8.0
06135,21.0,7.0,10.0
06136,9.0,2.0,25.0
06137,10.0,2.0,13.0
06901,27.0,12.0,15.0
06138,6.0,0.0,12.0
06139,1.0,1.0,10.0
06140,1.0,2.0,12.0
06141,9.0,5.0,29.0
06146,4.0,0.0,25.0
06147,1.0,2.0,9.0
06148,9.0,3.0,19.0
06142,0.0,1.0,1.0
06143,49.0,14.0,35.0
06144,1.0,0.0,7.0
06145,7.0,4.0,14.0
06149,140.0,56.0,115.0
06150,3.0,2.0,9.0
06151,10.0,1.0,21.0
06152,8.0,4.0,14.0
06153,237.0,71.0,262.0
06154,32.0,10.0,35.0
06156,13.0,2.0,14.0
06155,18.0,5.0,29.0
06157,3.0,2.0,5.0
06158,183.0,59.0,132.0
06159,20.0,13.0,21.0
06160,24.0,9.0,45.0
06162,28.0,10.0,33.0
06161,3.0,0.0,9.0
07002,83.0,21.0,56.0
07001,73.0,21.0,51.0
07003,188.0,58.0,86.0
07004,50.0,24.0,60.0
07005,114.0,37.0,80.0
07901,6.0,4.0,14.0
07006,72.0,30.0,73.0
07007,4.0,0.0,2.0
07008,116.0,46.0,54.0
07009,9.0,3.0,12.0
07010,55.0,16.0,40.0
07011,394.0,170.0,253.0
07012,14.0,8.0,33.0
07013,96.0,43.0,73.0
07014,108.0,41.0,73.0
07064,67.0,28.0,35.0
07015,267.0,87.0,197.0
07016,66.0,23.0,27.0
07017,6.0,3.0,7.0
07018,6.0,1.0,5.0
07026,583.0,161.0,281.0
07019,0.0,0.0,0.0
07020,58.0,28.0,41.0
07021,1.0,1.0,7.0
07022,202.0,44.0,172.0
07023,49.0,14.0,24.0
07024,74.0,40.0,51.0
07025,3.0,2.0,5.0
07027,414.0,113.0,211.0
07028,16.0,9.0,5.0
07029,66.0,19.0,48.0
07030,30.0,2.0,29.0
07031,365.0,154.0,215.0
07033,485.0,118.0,299.0
07034,17.0,4.0,10.0
07032,306.0,87.0,223.0
07035,22.0,8.0,36.0
07036,354.0,175.0,155.0
07037,40.0,21.0,19.0
