Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
3084,0.0,7.0,2.0,6.0
3085,2.0,1.0,2.0,12.0
3086,1.0,1.0,0.0,1.0
3088,45.0,58.0,33.0,123.0
3089,13.0,121.0,29.0,199.0
3090,21.0,37.0,86.0,396.0
3091,3.0,0.0,4.0,7.0
3092,4.0,88.0,35.0,193.0
3093,37.0,164.0,90.0,536.0
3094,8.0,29.0,67.0,317.0
3095,6.0,28.0,30.0,227.0
3096,4.0,89.0,28.0,123.0
3097,3.0,6.0,7.0,50.0
3098,0.0,1.0,3.0,11.0
3099,236.0,175.0,395.0,1777.0
3100,2.0,4.0,6.0,15.0
3101,8.0,34.0,46.0,168.0
3102,53.0,31.0,51.0,216.0
3103,3.0,0.0,2.0,8.0
3104,0.0,225.0,79.0,610.0
3105,26.0,56.0,23.0,138.0
3106,8.0,4.0,0.0,13.0
3107,4.0,16.0,20.0,69.0
3109,15.0,6.0,25.0,49.0
3110,2.0,1.0,2.0,8.0
3111,12.0,34.0,39.0,101.0
3112,3.0,0.0,1.0,15.0
3113,8.0,23.0,47.0,252.0
3114,15.0,26.0,9.0,41.0
3115,3.0,0.0,0.0,10.0
3116,9.0,15.0,1.0,27.0
3117,3.0,0.0,1.0,12.0
3118,3.0,11.0,11.0,116.0
3119,7.0,28.0,79.0,647.0
3120,17.0,7.0,18.0,121.0
3121,91.0,56.0,78.0,624.0
3122,5.0,179.0,200.0,1102.0
3123,8.0,105.0,22.0,135.0
3124,2.0,0.0,5.0,13.0
3125,1.0,5.0,1.0,13.0
3127,3.0,1.0,2.0,15.0
3128,10.0,24.0,73.0,440.0
3129,1.0,14.0,6.0,30.0
3130,0.0,0.0,0.0,3.0
3131,2.0,0.0,1.0,9.0
3132,0.0,3.0,2.0,11.0
3133,15.0,65.0,271.0,1988.0
3134,0.0,0.0,0.0,4.0
3135,0.0,0.0,1.0,5.0
3136,11.0,2.0,1.0,13.0
3137,1.0,0.0,2.0,9.0
3138,9.0,15.0,21.0,104.0
3139,76.0,62.0,120.0,707.0
3140,60.0,258.0,134.0,744.0
3901,4.0,3.0,9.0,53.0
3902,102.0,45.0,89.0,395.0
3903,14.0,11.0,26.0,108.0
3904,6.0,30.0,17.0,44.0
4001,4.0,3.0,5.0,20.0
4002,9.0,4.0,7.0,19.0
4003,308.0,37.0,48.0,438.0
4004,1.0,3.0,3.0,11.0
4005,2.0,2.0,0.0,3.0
4006,12.0,37.0,58.0,357.0
4007,4.0,4.0,4.0,8.0
4008,1.0,2.0,5.0,13.0
4009,1.0,0.0,0.0,2.0
4010,1.0,5.0,7.0,18.0
4011,13.0,19.0,18.0,60.0
4012,0.0,0.0,1.0,2.0
4013,993.0,259.0,562.0,5810.0
4014,0.0,0.0,0.0,3.0
4015,0.0,0.0,0.0,4.0
4016,54.0,25.0,42.0,139.0
4017,4.0,10.0,15.0,68.0
4018,3.0,4.0,1.0,6.0
4019,4.0,0.0,1.0,11.0
4020,1.0,0.0,0.0,3.0
4021,0.0,1.0,3.0,1.0
4022,1.0,1.0,2.0,7.0
4023,0.0,0.0,0.0,1.0
4024,7.0,24.0,24.0,83.0
4026,0.0,0.0,0.0,1.0
4027,1.0,0.0,2.0,3.0
4028,2.0,1.0,1.0,4.0
4029,179.0,21.0,41.0,238.0
4030,3.0,3.0,2.0,15.0
4031,9.0,20.0,20.0,70.0
4032,77.0,21.0,47.0,174.0
4033,1.0,0.0,0.0,3.0
4034,1.0,1.0,1.0,2.0
4035,117.0,31.0,94.0,327.0
4036,1.0,2.0,1.0,2.0
4037,8.0,3.0,6.0,25.0
4038,50.0,11.0,13.0,52.0
4041,3.0,1.0,2.0,10.0
4043,11.0,2.0,2.0,4.0
4044,1.0,34.0,12.0,42.0
4045,10.0,9.0,8.0,22.0
4046,4.0,6.0,4.0,18.0
4047,11.0,13.0,7.0,54.0
4048,9.0,3.0,29.0,64.0
4049,35.0,10.0,33.0,188.0
4050,20.0,5.0,3.0,21.0
4051,3.0,1.0,3.0,6.0
4052,8.0,89.0,76.0,461.0
4053,57.0,30.0,71.0,434.0
4054,4.0,1.0,0.0,5.0
4055,0.0,3.0,0.0,5.0
4056,0.0,0.0,0.0,4.0
4057,9.0,7.0,9.0,30.0
4058,0.0,1.0,3.0,1.0
4059,11.0,2.0,5.0,14.0
