Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
26045,1.0,0.0,0.0,1.0
26046,19.0,15.0,6.0,41.0
26047,2.0,22.0,10.0,48.0
26048,3.0,1.0,0.0,0.0
26049,1.0,1.0,3.0,3.0
26050,0.0,0.0,2.0,9.0
26051,2.0,0.0,5.0,2.0
26052,1.0,2.0,0.0,6.0
26053,6.0,2.0,0.0,5.0
26054,1.0,0.0,3.0,4.0
26055,0.0,0.0,0.0,1.0
26056,2.0,4.0,3.0,12.0
26057,0.0,0.0,0.0,2.0
26058,0.0,2.0,5.0,8.0
26059,7.0,10.0,5.0,36.0
26060,0.0,0.0,0.0,2.0
26061,1.0,16.0,8.0,66.0
26062,0.0,1.0,0.0,2.0
26063,1.0,1.0,0.0,1.0
26064,24.0,38.0,14.0,63.0
26065,1.0,0.0,0.0,2.0
26066,2.0,5.0,2.0,4.0
26067,0.0,0.0,0.0,0.0
26068,0.0,5.0,0.0,3.0
26069,1.0,0.0,0.0,7.0
26070,1.0,4.0,2.0,2.0
26071,14.0,59.0,47.0,339.0
26072,1.0,1.0,0.0,8.0
26073,1.0,0.0,1.0,5.0
26074,2.0,0.0,0.0,4.0
26075,4.0,1.0,2.0,7.0
26076,1.0,0.0,1.0,2.0
26077,,,,
26078,4.0,0.0,0.0,1.0
26079,3.0,3.0,2.0,12.0
26080,3.0,1.0,3.0,9.0
26081,0.0,0.0,0.0,2.0
26082,0.0,0.0,2.0,2.0
26083,0.0,2.0,1.0,4.0
26084,8.0,45.0,52.0,159.0
26086,0.0,0.0,0.0,2.0
26087,3.0,2.0,0.0,6.0
26088,0.0,1.0,0.0,1.0
26089,57.0,543.0,589.0,5530.0
26091,0.0,0.0,0.0,3.0
26092,4.0,3.0,1.0,1.0
26093,0.0,0.0,0.0,1.0
26094,0.0,0.0,0.0,1.0
26095,0.0,0.0,1.0,3.0
26096,1.0,1.0,0.0,5.0
26098,0.0,0.0,1.0,2.0
26099,6.0,5.0,5.0,29.0
26100,1.0,2.0,0.0,0.0
26101,2.0,0.0,0.0,0.0
26102,4.0,59.0,58.0,229.0
26103,1.0,8.0,5.0,24.0
26104,0.0,1.0,1.0,1.0
26105,3.0,49.0,22.0,65.0
26106,0.0,1.0,0.0,1.0
26107,0.0,0.0,0.0,4.0
26108,1.0,0.0,0.0,6.0
26109,0.0,0.0,0.0,1.0
26110,1.0,1.0,2.0,2.0
26111,1.0,5.0,2.0,10.0
26112,1.0,1.0,2.0,3.0
26113,0.0,0.0,0.0,0.0
26114,1.0,0.0,0.0,2.0
26115,0.0,0.0,0.0,1.0
26117,114.0,27.0,15.0,50.0
26118,0.0,0.0,0.0,2.0
26119,1.0,0.0,1.0,3.0
26120,6.0,33.0,14.0,43.0
26121,0.0,0.0,0.0,0.0
26122,0.0,1.0,2.0,7.0
26123,0.0,2.0,0.0,2.0
26124,1.0,3.0,8.0,11.0
26125,15.0,54.0,14.0,55.0
26126,0.0,0.0,0.0,0.0
26127,2.0,1.0,0.0,8.0
26128,3.0,2.0,1.0,4.0
26129,17.0,10.0,4.0,26.0
26130,0.0,0.0,2.0,13.0
26131,2.0,0.0,0.0,1.0
26132,0.0,0.0,1.0,8.0
26134,2.0,0.0,0.0,2.0
26135,1.0,0.0,0.0,3.0
26136,0.0,0.0,0.0,1.0
26138,8.0,39.0,37.0,205.0
26139,0.0,0.0,0.0,1.0
26140,0.0,1.0,0.0,8.0
26141,0.0,1.0,0.0,1.0
26142,12.0,16.0,4.0,23.0
26143,4.0,0.0,2.0,5.0
26144,2.0,1.0,1.0,6.0
26145,2.0,2.0,4.0,5.0
26146,0.0,0.0,2.0,3.0
26147,0.0,0.0,2.0,0.0
26148,2.0,2.0,1.0,7.0
26149,0.0,0.0,0.0,1.0
26150,0.0,1.0,3.0,2.0
26151,3.0,1.0,5.0,12.0
26152,0.0,0.0,0.0,0.0
26153,0.0,0.0,0.0,0.0
26154,4.0,1.0,0.0,1.0
26155,1.0,0.0,3.0,1.0
26157,3.0,10.0,0.0,13.0
26158,7.0,4.0,1.0,4.0
26160,14.0,6.0,7.0,14.0
26161,0.0,0.0,0.0,1.0
26162,0.0,0.0,1.0,3.0
26163,0.0,1.0,0.0,2.0
26164,0.0,0.0,0.0,0.0
26165,1.0,2.0,4.0,6.0
26166,0.0,0.0,0.0,2.0
26167,0.0,1.0,2.0,2.0
26168,8.0,12.0,18.0,76.0
26169,0.0,0.0,0.0,1.0
26170,6.0,13.0,2.0,17.0
26171,0.0,1.0,0.0,4.0
26172,0.0,0.0,0.0,0.0
26173,0.0,0.0,0.0,1.0
26174,3.0,0.0,1.0,1.0
26175,1.0,0.0,0.0,0.0
26176,1.0,0.0,0.0,2.0
26177,0.0,0.0,2.0,8.0
26178,0.0,0.0,0.0,0.0
26179,0.0,0.0,0.0,1.0
26180,6.0,1.0,1.0,11.0
26181,0.0,0.0,0.0,1.0
26183,0.0,0.0,1.0,5.0
27001,4.0,9.0,9.0,43.0
27002,2.0,16.0,14.0,36.0
27003,7.0,7.0,8.0,28.0
27004,5.0,2.0,1.0,15.0
27005,9.0,11.0,26.0,86.0
27006,9.0,9.0,13.0,88.0
27007,3.0,20.0,21.0,68.0
27008,10.0,6.0,8.0,36.0
27009,12.0,8.0,11.0,36.0
27010,40.0,25.0,22.0,114.0
27011,30.0,9.0,20.0,57.0
27012,2.0,2.0,7.0,24.0
27013,25.0,21.0,25.0,113.0
27014,17.0,20.0,12.0,84.0
27015,18.0,14.0,23.0,117.0
27016,49.0,40.0,50.0,291.0
27017,0.0,3.0,4.0,16.0
27018,23.0,17.0,23.0,99.0
27019,36.0,27.0,81.0,238.0
27020,24.0,15.0,7.0,51.0
27021,19.0,3.0,5.0,38.0
27022,30.0,22.0,25.0,141.0
27023,16.0,4.0,7.0,32.0
27024,4.0,5.0,7.0,18.0
27025,17.0,9.0,19.0,63.0
27026,10.0,6.0,19.0,55.0
27027,7.0,24.0,19.0,81.0
27028,59.0,287.0,521.0,4473.0
27029,4.0,12.0,11.0,81.0
27030,5.0,22.0,34.0,103.0
27031,13.0,63.0,109.0,590.0
27032,13.0,19.0,22.0,108.0
27033,4.0,3.0,0.0,12.0
27034,5.0,4.0,8.0,28.0
27035,0.0,0.0,0.0,7.0
27037,1.0,6.0,5.0,23.0
27038,11.0,3.0,5.0,15.0
27039,12.0,33.0,21.0,89.0
27040,18.0,16.0,19.0,77.0
27041,6.0,9.0,8.0,31.0
27042,10.0,7.0,8.0,29.0
27043,10.0,8.0,3.0,20.0
27044,27.0,9.0,19.0,55.0
27045,1.0,4.0,6.0,24.0
27046,26.0,9.0,8.0,19.0
27047,3.0,5.0,6.0,29.0
27048,10.0,12.0,23.0,68.0
27049,19.0,4.0,2.0,26.0
27050,3.0,16.0,22.0,74.0
27051,18.0,27.0,65.0,380.0
27052,2.0,3.0,5.0,14.0
27053,5.0,0.0,2.0,11.0
27054,7.0,5.0,9.0,24.0
27055,6.0,5.0,3.0,34.0
27056,2.0,26.0,9.0,93.0
27057,28.0,96.0,80.0,504.0
27058,21.0,21.0,20.0,69.0
27059,4.0,16.0,3.0,40.0
27060,29.0,10.0,14.0,48.0
27061,12.0,9.0,6.0,29.0
27062,3.0,2.0,2.0,16.0
27063,3.0,6.0,10.0,43.0
27064,15.0,2.0,8.0,29.0
27065,16.0,68.0,76.0,483.0
27066,108.0,55.0,80.0,517.0
27901,11.0,7.0,13.0,68.0
27902,85.0,20.0,57.0,294.0
28001,0.0,0.0,1.0,4.0
28002,1.0,120.0,45.0,203.0
28003,0.0,0.0,1.0,9.0
28004,3.0,21.0,35.0,119.0
28005,4.0,379.0,577.0,3561.0
28006,8.0,256.0,331.0,5194.0
28007,6.0,315.0,489.0,3387.0
28008,6.0,2.0,18.0,40.0
28009,5.0,107.0,80.0,692.0
28010,1.0,17.0,59.0,274.0
28011,5.0,0.0,3.0,8.0
28012,1.0,2.0,4.0,12.0
28013,31.0,79.0,121.0,1026.0
28014,19.0,548.0,228.0,1119.0
28015,2.0,35.0,111.0,359.0
28016,0.0,0.0,1.0,2.0
28017,0.0,2.0,8.0,24.0
28018,0.0,6.0,23.0,107.0
28019,0.0,5.0,4.0,18.0
28020,0.0,0.0,1.0,7.0
28021,0.0,0.0,5.0,12.0
28022,3.0,46.0,130.0,1723.0
28023,4.0,11.0,27.0,125.0
28024,0.0,0.0,4.0,4.0
28025,3.0,1.0,3.0,9.0
28026,9.0,10.0,35.0,214.0
28027,2.0,5.0,5.0,52.0
28028,3.0,3.0,7.0,47.0
28029,3.0,1.0,1.0,13.0
28030,1.0,6.0,12.0,66.0
28031,4.0,11.0,18.0,44.0
28032,2.0,36.0,50.0,126.0
28033,3.0,50.0,42.0,103.0
28034,0.0,0.0,5.0,7.0
28035,1.0,4.0,8.0,21.0
28036,0.0,14.0,19.0,48.0
28037,2.0,4.0,8.0,22.0
28038,1.0,8.0,32.0,170.0
28039,0.0,0.0,0.0,5.0
28040,7.0,51.0,64.0,319.0
28041,5.0,17.0,26.0,140.0
28042,3.0,2.0,9.0,20.0
28043,16.0,28.0,77.0,105.0
28044,2.0,6.0,37.0,123.0
28045,28.0,86.0,175.0,945.0
28046,1.0,11.0,40.0,111.0
28047,7.0,89.0,170.0,1345.0
28048,0.0,2.0,3.0,5.0
28049,1.0,167.0,298.0,1882.0
28050,2.0,20.0,18.0,73.0
28051,3.0,5.0,11.0,50.0
28052,31.0,17.0,18.0,137.0
28053,8.0,73.0,28.0,211.0
28054,13.0,14.0,43.0,306.0
28055,5.0,1.0,5.0,29.0
28056,2.0,2.0,6.0,22.0
28057,5.0,2.0,8.0,22.0
28058,11.0,678.0,652.0,3476.0
28059,9.0,28.0,33.0,173.0
28060,8.0,5.0,6.0,28.0
28061,13.0,7.0,106.0,587.0
28062,0.0,1.0,4.0,9.0
28063,0.0,2.0,0.0,19.0
28064,1.0,0.0,2.0,10.0
28065,16.0,318.0,557.0,2951.0
28066,4.0,84.0,45.0,251.0
28067,8.0,9.0,22.0,83.0
28068,11.0,13.0,42.0,318.0
28069,0.0,0.0,0.0,6.0
28070,2.0,2.0,1.0,8.0
28071,0.0,0.0,2.0,3.0
28072,3.0,4.0,21.0,194.0
28073,6.0,511.0,178.0,639.0
28074,7.0,380.0,594.0,3283.0
28075,3.0,85.0,72.0,171.0
28076,1.0,1.0,2.0,14.0
28078,0.0,0.0,1.0,1.0
28079,201.0,4419.0,9450.0,135395.0
28080,8.0,36.0,154.0,2836.0
28082,10.0,4.0,28.0,129.0
28083,4.0,46.0,66.0,173.0
28084,2.0,174.0,127.0,450.0
28085,8.0,5.0,21.0,115.0
28086,4.0,12.0,25.0,139.0
28087,1.0,3.0,18.0,76.0
28088,0.0,2.0,2.0,9.0
28089,2.0,83.0,51.0,141.0
28090,5.0,11.0,36.0,220.0
28091,9.0,18.0,29.0,97.0
28092,5.0,295.0,586.0,3054.0
28093,0.0,4.0,8.0,97.0
28094,3.0,0.0,3.0,22.0
28095,7.0,2.0,4.0,29.0
28096,12.0,71.0,107.0,423.0
28097,0.0,0.0,0.0,2.0
28099,0.0,4.0,17.0,45.0
28100,2.0,4.0,31.0,99.0
28101,1.0,0.0,1.0,9.0
28102,0.0,3.0,2.0,13.0
28104,5.0,134.0,68.0,439.0
28106,4.0,101.0,264.0,1303.0
28107,0.0,0.0,2.0,14.0
28108,1.0,3.0,19.0,77.0
28109,0.0,7.0,14.0,42.0
28110,0.0,9.0,11.0,33.0
28111,6.0,1.0,0.0,13.0
28112,0.0,0.0,2.0,5.0
28113,6.0,230.0,201.0,990.0
28114,2.0,0.0,0.0,5.0
28115,7.0,75.0,219.0,4926.0
28116,2.0,1.0,3.0,14.0
28117,0.0,0.0,1.0,3.0
28118,0.0,0.0,1.0,5.0
28119,3.0,1.0,11.0,44.0
28120,10.0,3.0,12.0,58.0
28121,0.0,0.0,1.0,5.0
28122,1.0,0.0,2.0,11.0
28123,4.0,118.0,234.0,1382.0
28124,0.0,0.0,0.0,5.0
28125,11.0,6.0,19.0,62.0
28126,0.0,0.0,0.0,2.0
28127,7.0,92.0,267.0,3876.0
28128,2.0,0.0,0.0,10.0
28129,2.0,31.0,33.0,307.0
28130,1.0,189.0,149.0,1023.0
28131,8.0,11.0,53.0,439.0
28132,9.0,69.0,88.0,361.0
28133,6.0,14.0,41.0,170.0
28134,13.0,163.0,323.0,2539.0
28135,1.0,3.0,11.0,19.0
28136,0.0,0.0,6.0,12.0
28137,2.0,1.0,5.0,24.0
28138,0.0,0.0,1.0,4.0
28140,0.0,17.0,23.0,69.0
28141,1.0,18.0,40.0,135.0
28143,1.0,0.0,0.0,4.0
28144,5.0,5.0,24.0,198.0
28145,4.0,3.0,11.0,44.0
28146,5.0,8.0,10.0,39.0
28147,3.0,1.0,5.0,16.0
28148,8.0,333.0,298.0,2130.0
28149,4.0,65.0,40.0,183.0
28150,2.0,22.0,18.0,78.0
28151,1.0,11.0,20.0,85.0
28152,1.0,13.0,52.0,795.0
28153,1.0,6.0,2.0,19.0
28154,7.0,60.0,24.0,169.0
28155,7.0,0.0,0.0,4.0
28156,3.0,6.0,9.0,28.0
28157,3.0,3.0,4.0,8.0
28158,0.0,4.0,6.0,12.0
28159,3.0,1.0,11.0,12.0
28160,10.0,8.0,43.0,239.0
28161,4.0,239.0,290.0,1221.0
28162,1.0,5.0,11.0,71.0
28163,0.0,2.0,2.0,6.0
28164,0.0,12.0,21.0,73.0
28165,6.0,14.0,7.0,45.0
28166,1.0,1.0,3.0,5.0
28167,3.0,71.0,60.0,241.0
28168,1.0,3.0,12.0,21.0
28169,0.0,2.0,7.0,48.0
28170,9.0,9.0,6.0,64.0
28171,41.0,6.0,27.0,100.0
28172,0.0,45.0,40.0,184.0
28173,4.0,2.0,5.0,14.0
28174,12.0,6.0,13.0,39.0
28175,1.0,4.0,9.0,15.0
28176,6.0,9.0,41.0,598.0
28177,7.0,10.0,52.0,333.0
28178,4.0,3.0,4.0,29.0
28179,1.0,4.0,10.0,28.0
28180,13.0,28.0,36.0,122.0
28181,9.0,50.0,135.0,981.0
28182,1.0,0.0,2.0,3.0
28183,2.0,8.0,12.0,17.0
28901,0.0,0.0,3.0,37.0
28902,0.0,0.0,4.0,12.0
28903,6.0,80.0,54.0,1348.0
29001,74.0,29.0,14.0,63.0
29002,13.0,3.0,7.0,41.0
29003,15.0,3.0,3.0,16.0
29004,12.0,0.0,2.0,9.0
29005,63.0,5.0,20.0,127.0
29006,0.0,1.0,2.0,18.0
29007,33.0,79.0,117.0,697.0
29008,27.0,63.0,103.0,403.0
29009,9.0,1.0,6.0,19.0
29010,37.0,9.0,11.0,42.0
29011,18.0,13.0,16.0,33.0
29012,29.0,29.0,34.0,209.0
29013,16.0,6.0,3.0,18.0
29014,0.0,0.0,2.0,5.0
29015,303.0,139.0,177.0,1073.0
29016,2.0,0.0,1.0,8.0
29017,126.0,28.0,37.0,136.0
29018,16.0,11.0,16.0,36.0
29019,10.0,3.0,5.0,5.0
29020,4.0,8.0,18.0,42.0
29021,0.0,0.0,3.0,5.0
29022,3.0,0.0,1.0,6.0
29023,6.0,2.0,33.0,232.0
29024,2.0,4.0,2.0,9.0
29025,7.0,42.0,165.0,1886.0
29026,9.0,2.0,2.0,31.0
29027,19.0,3.0,12.0,40.0
29028,3.0,13.0,6.0,30.0
29029,1.0,0.0,3.0,9.0
29030,6.0,2.0,4.0,10.0
29031,9.0,5.0,9.0,30.0
29032,84.0,33.0,34.0,193.0
29033,4.0,4.0,5.0,11.0
29034,2.0,1.0,3.0,15.0
29035,24.0,9.0,7.0,29.0
29036,3.0,1.0,5.0,19.0
29037,0.0,0.0,1.0,9.0
29038,31.0,35.0,77.0,308.0
29039,12.0,8.0,33.0,66.0
29040,21.0,6.0,16.0,44.0
29041,23.0,12.0,25.0,89.0
29042,21.0,80.0,123.0,420.0
29043,26.0,19.0,13.0,62.0
29044,8.0,1.0,8.0,18.0
29045,2.0,5.0,16.0,62.0
29046,6.0,9.0,9.0,44.0
29047,26.0,5.0,13.0,20.0
29048,8.0,1.0,8.0,18.0
29049,50.0,15.0,16.0,47.0
29050,5.0,0.0,2.0,5.0
29051,51.0,76.0,245.0,1802.0
29052,1.0,0.0,3.0,2.0
29053,6.0,5.0,11.0,67.0
29054,51.0,69.0,237.0,2697.0
29055,31.0,14.0,7.0,46.0
29056,14.0,5.0,14.0,44.0
29057,3.0,0.0,2.0,10.0
29058,3.0,4.0,6.0,25.0
29059,30.0,15.0,17.0,48.0
29060,4.0,4.0,2.0,10.0
29061,1.0,1.0,2.0,22.0
29062,7.0,1.0,1.0,11.0
29063,3.0,1.0,2.0,11.0
29064,4.0,0.0,4.0,11.0
29065,0.0,0.0,4.0,6.0
29066,2.0,0.0,0.0,9.0
29067,196.0,1144.0,1723.0,18396.0
29068,8.0,17.0,54.0,323.0
29069,47.0,181.0,780.0,6961.0
29070,26.0,102.0,293.0,1746.0
29071,2.0,3.0,6.0,15.0
29072,49.0,20.0,15.0,83.0
29073,7.0,11.0,13.0,38.0
29074,0.0,2.0,5.0,15.0
29075,10.0,30.0,109.0,797.0
29076,1.0,7.0,15.0,65.0
29077,2.0,1.0,1.0,9.0
29079,69.0,6.0,18.0,49.0
29080,28.0,23.0,47.0,161.0
29081,2.0,0.0,1.0,5.0
29082,9.0,30.0,105.0,843.0
29083,29.0,3.0,11.0,42.0
29084,110.0,95.0,137.0,931.0
29085,0.0,0.0,0.0,6.0
29086,7.0,4.0,6.0,22.0
29087,2.0,0.0,0.0,7.0
29088,48.0,17.0,12.0,47.0
29089,71.0,14.0,11.0,72.0
29090,2.0,1.0,4.0,23.0
29091,45.0,26.0,64.0,367.0
29092,3.0,0.0,1.0,5.0
29093,7.0,0.0,9.0,26.0
29094,305.0,148.0,258.0,1887.0
29095,125.0,17.0,17.0,71.0
29096,45.0,3.0,14.0,41.0
29097,68.0,17.0,22.0,82.0
29098,28.0,7.0,5.0,20.0
29099,14.0,4.0,5.0,30.0
29100,6.0,8.0,14.0,33.0
29901,7.0,54.0,119.0,2138.0
29902,,,,
29903,,,,
29904,,,,
30001,20.0,49.0,24.0,95.0
30002,56.0,40.0,41.0,222.0
30003,170.0,48.0,115.0,770.0
30004,0.0,4.0,4.0,7.0
30005,7.0,202.0,151.0,900.0
30006,14.0,4.0,2.0,13.0
30007,12.0,29.0,18.0,115.0
30008,109.0,76.0,59.0,395.0
30009,31.0,66.0,68.0,355.0
30010,31.0,31.0,41.0,203.0
30011,52.0,30.0,22.0,109.0
30012,57.0,49.0,87.0,237.0
30013,55.0,62.0,40.0,248.0
30014,5.0,3.0,6.0,25.0
30015,87.0,165.0,104.0,705.0
30016,346.0,495.0,688.0,4884.0
30017,73.0,67.0,61.0,296.0
30018,10.0,53.0,63.0,194.0
30019,162.0,108.0,131.0,645.0
30020,20.0,44.0,29.0,166.0
30021,148.0,80.0,80.0,373.0
30022,146.0,123.0,119.0,507.0
30023,17.0,20.0,19.0,87.0
30024,458.0,266.0,357.0,2175.0
30025,10.0,106.0,55.0,278.0
30026,177.0,47.0,137.0,665.0
30027,68.0,283.0,215.0,1643.0
30028,43.0,38.0,29.0,95.0
30029,79.0,40.0,61.0,273.0
30030,457.0,1291.0,1605.0,14193.0
30031,8.0,1.0,2.0,9.0
30032,16.0,3.0,9.0,51.0
30033,78.0,38.0,71.0,315.0
30034,3.0,2.0,4.0,8.0
30035,198.0,62.0,116.0,918.0
30036,69.0,56.0,103.0,503.0
30037,371.0,115.0,188.0,780.0
30038,13.0,99.0,73.0,387.0
30039,188.0,115.0,108.0,623.0
30040,6.0,2.0,1.0,16.0
30041,11.0,49.0,66.0,252.0
30042,6.0,2.0,3.0,34.0
30043,75.0,452.0,102.0,750.0
30901,46.0,66.0,65.0,407.0
30902,21.0,16.0,45.0,345.0
31001,0.0,0.0,1.0,3.0
31002,3.0,3.0,3.0,13.0
31003,0.0,0.0,0.0,0.0
31004,0.0,0.0,0.0,1.0
31005,2.0,0.0,3.0,7.0
31006,9.0,10.0,21.0,51.0
31007,0.0,0.0,0.0,0.0
31008,0.0,1.0,0.0,2.0
31009,3.0,2.0,2.0,15.0
31010,3.0,64.0,32.0,193.0
31011,2.0,3.0,1.0,14.0
31012,1.0,4.0,2.0,26.0
31013,1.0,3.0,0.0,15.0
31014,2.0,2.0,3.0,7.0
31015,24.0,30.0,11.0,45.0
31016,0.0,45.0,38.0,194.0
31017,2.0,1.0,1.0,8.0
31018,3.0,1.0,4.0,5.0
31019,0.0,10.0,6.0,56.0
31020,1.0,1.0,0.0,14.0
31021,0.0,0.0,0.0,1.0
31022,0.0,1.0,3.0,10.0
31023,6.0,118.0,119.0,468.0
31024,0.0,0.0,0.0,1.0
31025,4.0,11.0,6.0,16.0
31026,5.0,0.0,1.0,2.0
31027,1.0,12.0,7.0,31.0
31028,0.0,1.0,0.0,4.0
31029,5.0,9.0,6.0,28.0
31030,1.0,0.0,0.0,2.0
31031,0.0,5.0,4.0,4.0
31032,7.0,12.0,10.0,50.0
31033,0.0,0.0,0.0,1.0
31034,0.0,0.0,0.0,5.0
31035,0.0,0.0,0.0,0.0
31036,4.0,5.0,0.0,11.0
31037,0.0,1.0,0.0,1.0
31038,11.0,7.0,10.0,40.0
31039,2.0,1.0,0.0,0.0
31040,2.0,0.0,1.0,1.0
31041,4.0,4.0,9.0,26.0
31042,53.0,26.0,13.0,48.0
31043,0.0,0.0,0.0,0.0
31044,0.0,1.0,3.0,6.0
31045,7.0,5.0,2.0,14.0
31046,0.0,0.0,0.0,1.0
31047,7.0,2.0,2.0,4.0
31048,1.0,3.0,0.0,2.0
31049,2.0,4.0,4.0,14.0
31050,9.0,29.0,39.0,197.0
31051,2.0,1.0,0.0,5.0
31052,1.0,0.0,0.0,3.0
31053,5.0,1.0,1.0,16.0
31054,3.0,0.0,2.0,9.0
31055,2.0,4.0,0.0,11.0
31056,0.0,3.0,0.0,6.0
31057,20.0,15.0,4.0,36.0
31058,0.0,1.0,1.0,10.0
31059,4.0,3.0,1.0,1.0
31060,2.0,24.0,46.0,331.0
31061,1.0,0.0,0.0,0.0
31062,17.0,1.0,5.0,27.0
31063,0.0,1.0,0.0,1.0
31064,18.0,8.0,9.0,28.0
31065,18.0,5.0,7.0,43.0
31066,8.0,12.0,3.0,15.0
31067,11.0,10.0,6.0,47.0
31068,12.0,22.0,11.0,68.0
31069,0.0,0.0,2.0,13.0
31070,3.0,21.0,12.0,65.0
31071,0.0,0.0,0.0,1.0
31072,17.0,53.0,48.0,130.0
31073,0.0,1.0,0.0,7.0
31074,0.0,2.0,1.0,7.0
31075,0.0,0.0,0.0,1.0
31076,2.0,16.0,12.0,167.0
31077,16.0,46.0,45.0,153.0
31078,19.0,13.0,7.0,39.0
31079,1.0,0.0,0.0,2.0
31080,2.0,2.0,3.0,10.0
31081,3.0,0.0,2.0,10.0
31082,0.0,7.0,1.0,14.0
31083,2.0,0.0,0.0,2.0
31084,4.0,22.0,15.0,47.0
31085,3.0,2.0,1.0,11.0
31086,2.0,34.0,16.0,294.0
31087,0.0,1.0,0.0,4.0
31088,4.0,95.0,68.0,329.0
31089,0.0,3.0,3.0,6.0
31090,1.0,0.0,0.0,3.0
31091,1.0,0.0,3.0,8.0
31092,6.0,1.0,2.0,16.0
31093,0.0,1.0,4.0,14.0
31094,0.0,1.0,2.0,1.0
31095,1.0,0.0,0.0,2.0
31096,0.0,0.0,0.0,4.0
31097,8.0,31.0,57.0,472.0
31098,2.0,6.0,6.0,38.0
31099,6.0,0.0,0.0,2.0
31100,0.0,2.0,2.0,3.0
31101,2.0,22.0,32.0,76.0
31102,0.0,1.0,0.0,2.0
31103,0.0,1.0,1.0,0.0
31104,12.0,14.0,6.0,39.0
31105,9.0,13.0,6.0,28.0
31106,11.0,1.0,4.0,36.0
31107,32.0,17.0,7.0,36.0
31108,13.0,6.0,10.0,32.0
31109,1.0,80.0,39.0,247.0
31110,0.0,0.0,0.0,1.0
31111,0.0,1.0,3.0,1.0
31112,0.0,1.0,0.0,3.0
31113,0.0,0.0,2.0,3.0
31114,1.0,2.0,2.0,3.0
31115,1.0,0.0,3.0,8.0
31116,1.0,0.0,0.0,2.0
31117,2.0,0.0,4.0,17.0
31118,1.0,0.0,0.0,2.0
31119,0.0,0.0,0.0,1.0
31120,3.0,0.0,0.0,7.0
31121,1.0,0.0,0.0,0.0
31122,2.0,53.0,19.0,213.0
31123,4.0,12.0,0.0,8.0
31124,2.0,0.0,0.0,5.0
31125,1.0,2.0,2.0,5.0
31126,2.0,0.0,2.0,8.0
31127,2.0,1.0,2.0,2.0
31128,0.0,3.0,1.0,20.0
31129,0.0,2.0,3.0,5.0
31130,0.0,0.0,0.0,5.0
31131,4.0,10.0,5.0,37.0
31132,1.0,0.0,0.0,2.0
31133,1.0,0.0,0.0,1.0
31134,0.0,0.0,1.0,4.0
31135,1.0,0.0,0.0,11.0
31136,0.0,3.0,1.0,8.0
31137,0.0,0.0,0.0,6.0
31138,2.0,18.0,7.0,21.0
31139,1.0,1.0,1.0,3.0
31140,0.0,0.0,0.0,5.0
31141,0.0,2.0,0.0,2.0
31142,23.0,2.0,12.0,30.0
31143,2.0,1.0,0.0,2.0
31144,10.0,3.0,0.0,23.0
31145,2.0,0.0,0.0,4.0
31146,0.0,0.0,0.0,0.0
31147,0.0,0.0,0.0,2.0
31148,1.0,0.0,1.0,2.0
31149,7.0,18.0,17.0,77.0
31150,3.0,0.0,1.0,8.0
31151,0.0,0.0,0.0,3.0
31152,11.0,9.0,9.0,18.0
31153,2.0,21.0,14.0,82.0
31154,0.0,1.0,0.0,3.0
31155,0.0,3.0,3.0,9.0
31156,1.0,0.0,1.0,5.0
31157,7.0,28.0,11.0,84.0
31158,3.0,0.0,1.0,7.0
31159,1.0,4.0,4.0,36.0
31160,0.0,2.0,0.0,1.0
31161,0.0,5.0,1.0,2.0
31162,0.0,0.0,0.0,2.0
31163,7.0,14.0,8.0,43.0
31164,1.0,5.0,1.0,24.0
31165,22.0,27.0,16.0,54.0
31166,2.0,1.0,1.0,5.0
31167,4.0,3.0,3.0,12.0
31168,1.0,1.0,2.0,5.0
31169,16.0,13.0,10.0,49.0
31170,0.0,0.0,0.0,1.0
31171,8.0,2.0,8.0,23.0
31172,0.0,1.0,4.0,5.0
31173,3.0,6.0,4.0,22.0
31174,0.0,0.0,1.0,1.0
31175,5.0,0.0,0.0,3.0
31176,24.0,16.0,20.0,49.0
31177,1.0,4.0,1.0,12.0
31178,3.0,2.0,1.0,9.0
31179,11.0,2.0,6.0,15.0
31180,0.0,1.0,1.0,7.0
31181,0.0,1.0,0.0,3.0
31182,0.0,0.0,1.0,2.0
31183,2.0,0.0,5.0,18.0
31184,0.0,0.0,0.0,2.0
31185,0.0,2.0,0.0,15.0
31186,4.0,3.0,0.0,3.0
31187,0.0,0.0,2.0,2.0
31188,1.0,1.0,0.0,10.0
31189,0.0,17.0,3.0,35.0
31190,0.0,0.0,0.0,0.0
31191,10.0,21.0,13.0,82.0
31192,5.0,1.0,0.0,5.0
31193,3.0,26.0,12.0,50.0
31194,1.0,2.0,2.0,6.0
31195,0.0,0.0,1.0,3.0
31196,0.0,0.0,0.0,0.0
31197,0.0,0.0,0.0,3.0
31198,0.0,0.0,0.0,3.0
31199,0.0,1.0,0.0,1.0
31200,3.0,4.0,3.0,14.0
31201,30.0,314.0,516.0,7563.0
31202,18.0,84.0,22.0,135.0
31203,0.0,0.0,0.0,1.0
31204,0.0,0.0,0.0,1.0
31205,3.0,1.0,4.0,14.0
31206,4.0,15.0,19.0,69.0
31207,0.0,0.0,2.0,6.0
31208,32.0,13.0,9.0,51.0
31209,2.0,0.0,0.0,3.0
