Codigo Municipio,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares
46086,,
13031,,
41025,1.0,
34047,2.0,2.0
24039,1.0,1.0
13032,,
24040,,
30016,8.0,7.0
29037,,
29038,1.0,
21021,,
32020,1.0,
39018,,
24041,,
19070,,
29039,,
37089,,
26042,,1.0
10049,2.0,
45040,,
10050,1.0,
19071,2.0,
29040,,
42055,,
29041,,
10051,,
41026,,
45041,1.0,1.0
28036,,
46087,,
46088,,
16060,1.0,
10052,1.0,
10053,,
06033,1.0,
16061,1.0,
16062,,
16063,,
16064,,
02021,1.0,
02022,,
16065,,
10056,,
10057,,
06034,,
19073,,
02023,,
10054,,
37090,,
10055,1.0,
05052,,
45042,,
49038,,
49039,,
02024,1.0,
16066,1.0,
05053,,
47036,,
10058,,
05054,1.0,
22081,,
09077,,
09078,,
31068,1.0,
44064,,
31069,,
43041,,
05055,,
10059,,
37091,1.0,
46089,,
40045,,
33015,,
50074,1.0,2.0
19074,,
17044,1.0,
08049,1.0,
03053,,
10060,,
26043,,
39019,,
21022,,
18044,,
16067,,
31070,1.0,
50075,,
19075,,
50076,,
22083,,
22084,1.0,
44065,,
50077,,
22082,,
44066,,
22085,,
12037,,
03054,1.0,
03075,,
08057,,
25904,,
07064,,
09079,,
37092,,
37185,1.0,
05056,,
23025,,
11013,,
19076,,
25064,,
08052,,
13033,,
08050,,
08051,5.0,
44070,,
08053,1.0,
08054,,
08055,1.0,
25067,,
08056,21.0,1.0
08058,,
17046,,
08060,,
08059,,
12038,,
08061,1.0,
08062,,
25068,,
12039,,
25069,,
46090,,
17047,1.0,
08063,,
12040,5.0,3.0
46091,,
44071,1.0,
17048,1.0,
25070,,
08064,2.0,
43042,,
08065,,
08066,1.0,
44067,,
44068,,
46092,,
22086,,
22087,,
09083,,
34048,,
06035,,
41027,1.0,
09082,,
24042,,
19078,,
42056,,
50078,,
22088,,
41028,,
41029,,1.0
41030,,
18045,,
16068,,
37096,,
40046,,
42058,,
16070,,
45043,,
16072,,
41031,,
23026,,
12041,,
16071,,
22089,,
31071,,
19079,,
42057,,
37097,,
34049,,
47037,,
32022,,
32021,,
18046,,
24043,,
34050,,
47038,,
49040,,
09084,,
24044,,
09085,1.0,
34051,,
09088,,
34052,,
09086,1.0,2.0
09090,,
33016,3.0,
47039,,
32023,1.0,
04033,,
40047,,
27010,1.0,
14019,1.0,1.0
47040,,
24046,,
24047,1.0,
47041,,
49041,,
09091,1.0,1.0
40048,,
47042,,
34053,,
47043,,
49042,,
47044,,
47045,,
24049,,
33017,,
47046,,
40049,,
40051,,
24050,1.0,
39020,2.0,
27011,,
49043,,
47047,,
26044,,
06036,2.0,
46093,,
46094,2.0,
12042,,
43043,,
36010,,
03055,,
02025,1.0,
46095,,
12043,,1.0
25071,,
09063,,
09093,,
45045,1.0,
23027,1.0,
41032,1.0,
23028,1.0,1.0
49044,,
24051,,
24052,,
45046,,
09094,,
05057,1.0,
24053,,
10061,,
15022,1.0,
10062,,
40052,,
45047,1.0,
44074,1.0,
15023,,
30017,,
47048,,
09095,1.0,
44075,,
32024,1.0,
44076,,
17189,,
26045,,
17049,1.0,
31193,,1.0
19080,,
19081,,
18047,,
26046,1.0,
28037,1.0,
02026,,
32025,,
08067,1.0,1.0
19082,,
42059,,
37098,,
05058,,
42060,,
15024,,
28038,4.0,3.0
08268,,
46096,,
08266,2.0,
36011,,
15025,,
37099,,
49046,,
49047,,
37100,,
10063,,
40053,,
40054,,
09098,1.0,
49048,,
44077,,
37101,,
45048,,
09100,,
21023,,1.0
37102,1.0,
27012,,
34055,,
08068,3.0,
25072,2.0,
28039,,
50079,,
45049,,
34056,1.0,
16073,,
12044,,
26047,1.0,1.0
50080,,
25073,,
17050,,
47049,,
27013,,
37103,1.0,
15026,,
50081,,
51001,3.0,6.0
30018,2.0,
34057,1.0,
34058,,
37114,,
22094,,
05067,,
32029,,
27016,1.0,
40065,,
28051,1.0,
18059,,1.0
19103,1.0,
06042,,
46107,,
46106,1.0,
19104,,
46108,,
04036,,
12052,,
46109,,
22095,,
11015,4.0,1.0
23029,1.0,
12053,,
16023,1.0,
19106,,
13038,2.0,
23030,,
19105,,
18061,,
22096,1.0,
02029,,1.0
28052,2.0,1.0
11016,,1.0
50092,,
04037,,
46111,3.0,
50093,,
12055,,
12056,,
24065,2.0,1.0
45056,,
21030,,1.0
45057,,
46112,,
16081,,
18062,2.0,
09101,,
26048,,
42061,,
28040,5.0,2.0
16074,,
39021,,
30019,1.0,
19086,2.0,1.0
47050,,1.0
42062,,
47051,,
42063,,
26049,,
18048,,
05059,,
09102,,
10064,1.0,
37104,,
09103,,
09104,,
40055,,
39022,,
24054,,
24055,,
50082,,
50083,,
19087,,
12045,,
31072,1.0,
37106,,
12046,,
31074,,
42064,,
31075,,
19088,,
45050,,
09105,,
19089,,
26050,,
42065,,
05060,,
34059,1.0,
17051,,
47052,1.0,
24056,1.0,
13034,5.0,2.0
37107,6.0,3.0
07015,1.0,1.0
25074,,
31076,,
50084,,
25075,,
26051,,
33018,,
04034,,
45051,,
28041,2.0,
19090,,
45052,,
34060,,
40056,,
49050,,
40057,1.0,
37108,,
03056,1.0,1.0
50085,,
44080,,
40058,,
50086,,
06037,,
46097,1.0,
47053,,
47054,,
19091,,
09108,,
18049,,
18050,1.0,
19092,1.0,
25076,,
29042,,1.0
15027,1.0,
17054,,
32026,1.0,
05061,,
39023,,
25077,,
10065,,
05062,,
05063,,
40059,,
28046,1.0,
28047,2.0,
34061,,
08069,2.0,
43045,,
08070,,
29043,1.0,
37109,,
28043,1.0,2.0
28042,1.0,
28045,8.0,3.0
