Codigo Municipio,Superficie Km2,Densidad Poblacion
07001,45.72,125.57
07002,109.86,86.26
07003,60.02,344.07
07004,89.78,66.42
07005,81.46,142.05
07006,139.79,57.11
07007,18.06,30.01
07008,29.77,298.79
07009,8.29,130.76
07010,84.7,83.08
07011,145.02,355.59
07012,34.65,77.46
07013,149.69,76.32
07014,54.92,218.55
07015,186.34,164.42
07016,13.7,309.71
07017,15.37,89.72
07018,15.21,44.31
07019,139.39,1.3
07020,35.29,145.48
07021,13.44,24.26
07022,169.79,106.98
07023,66.09,74.02
07024,83.24,140.65
07025,19.49,34.99
07026,11.14,4546.05
07027,58.34,578.09
07028,17.44,84.0
07029,12.1,516.53
07030,34.92,68.3
07031,327.33,116.78
07032,117.31,252.14
07033,260.31,172.14
07034,19.89,78.88
07035,30.52,73.46
07036,54.22,707.43
07037,138.34,39.35
07038,41.13,75.05
07039,58.61,128.22
07040,208.63,2010.09
07041,70.04,43.23
07042,151.65,111.9
07043,86.91,64.71
07044,48.59,285.51
07045,42.31,48.62
07046,126.8,214.55
07047,52.86,67.01
07048,159.38,177.56
07049,38.54,56.69
07050,121.66,54.54
07051,82.08,108.67
07052,34.69,198.24
07053,20.25,85.14
07054,153.58,260.7
07055,86.51,147.58
07056,37.62,199.55
07057,124.86,98.85
07058,48.75,84.64
07059,39.12,128.07
07060,47.74,86.34
07061,42.8,315.21
07062,42.56,278.08
07063,42.93,47.57
07064,11.63,647.46
07065,23.96,148.5
07901,23.14,38.76
07902,31.44,47.71
08001,19.98,631.63
08002,43.14,6.63
08003,9.7,1026.19
08004,13.68,19.66
08005,14.25,616.63
08006,6.45,2471.63
08007,21.48,427.89
08008,47.26,4.66
08009,25.34,498.38
08010,17.86,323.74
08011,27.16,80.96
08012,63.6,35.94
08013,29.23,58.19
08014,8.0,319.5
08015,20.94,10649.76
08016,43.11,49.76
08017,17.25,226.09
08018,36.72,89.27
08019,100.76,16243.87
08020,50.39,145.98
08021,31.09,2.35
08022,22.54,740.11
08023,28.81,331.2
08024,43.4,10.48
08025,47.44,45.89
08026,41.19,6.68
08027,1.15,873.91
08028,17.09,89.0
08029,9.02,530.71
08030,6.98,1084.1
08031,9.22,390.13
08032,0.74,4185.14
08033,37.41,475.73
08034,33.02,32.19
08035,7.86,2447.33
08036,37.13,5.22
08037,5.72,437.76
08038,12.39,169.33
08039,7.35,73.47
08040,5.52,2682.97
08041,6.8,2481.18
08042,28.72,112.08
08043,14.11,346.28
08044,2.92,1819.86
08045,34.18,2.46
08046,12.21,1524.08
08047,66.43,69.14
08048,11.33,67.78
08049,29.38,55.68
08050,32.77,5.22
08051,45.18,545.79
08052,46.83,3.57
08053,28.52,135.1
08054,30.98,407.04
08055,33.96,22.17
08056,12.81,5247.93
08057,24.92,2.89
08058,47.14,52.02
08059,59.39,7.54
08060,26.29,6.2
08061,17.29,126.03
08062,29.14,48.73
08063,25.35,25.76
08064,31.76,82.87
08065,28.66,55.72
08066,16.4,121.71
08067,15.35,494.79
08068,24.12,382.79
08069,18.07,257.61
08070,15.14,25.56
08071,18.7,17.22
08072,18.28,821.5
08073,6.89,12960.81
08074,13.33,1204.13
08075,40.76,139.47
08076,27.32,818.37
08077,4.52,10348.89
08078,35.38,7.29
08079,10.25,39.8
08080,29.65,1.55
08081,39.89,11.71
08082,32.2,47.83
08083,10.96,207.03
08084,52.15,28.67
08085,37.07,38.85
08086,29.74,684.3
08087,16.23,11.28
08088,18.92,884.41
08089,30.89,1519.29
08090,39.42,4.79
08091,26.51,291.32
08092,6.83,719.77
08093,36.6,0.74
08094,6.43,343.23
08095,23.85,3.56
08096,14.95,4178.93
08097,23.07,68.7
08098,37.11,87.39
08099,61.43,15.12
08100,51.15,52.88
08101,13.6,19460.07
08102,8.2,4984.76
08103,31.06,26.56
08104,52.36,17.51
08105,3.02,4390.4
08106,27.7,365.2
08107,22.37,700.63
08108,10.71,614.38
08109,53.33,5.08
08110,8.79,2155.86
08111,11.01,25.07
08112,17.29,1203.24
08113,41.63,1878.26
08114,12.85,2230.89
08115,3.66,1317.76
08116,16.23,43.38
08117,22.19,143.22
08118,3.37,7076.56
08119,17.44,551.78
08120,25.37,381.24
08121,22.3,5790.13
08122,48.02,50.37
08123,15.72,1660.56
08124,10.82,4727.45
08125,23.46,1568.37
08126,2.86,4286.71
08127,11.91,266.83
08128,21.98,32.58
08129,40.5,16.17
08130,22.28,6.1
08131,4.85,216.08
08132,76.44,6.17
08133,13.6,11.62
08134,14.95,75.38
08135,3.88,2267.53
08136,10.24,1641.02
08137,26.77,13.52
08138,75.92,85.27
08139,47.91,4.82
08140,5.52,1099.28
08141,80.72,74.0
08142,24.89,7.07
08143,52.29,70.4
08144,35.41,24.68
08145,29.98,128.32
08146,30.78,62.48
08147,16.69,1445.9
08148,38.81,106.34
08149,28.98,41.06
08150,27.04,12.54
08151,68.59,7.97
08152,15.26,10.09
08153,5.53,140.87
08154,6.1,150.0
08155,16.51,584.25
08156,15.03,992.48
08157,8.47,1373.79
08158,8.85,478.19
08159,9.16,2064.08
08160,19.65,20.97
08161,57.22,286.81
08162,33.5,91.46
08163,10.3,2715.92
08164,9.51,137.33
08165,18.55,118.98
08166,51.52,20.63
08167,8.81,964.13
08168,25.78,20.29
08169,33.64,1948.04
08170,26.02,21.18
08171,13.45,195.84
08172,1.96,14552.55
08174,0.65,847.69
08175,46.16,92.92
08176,31.53,6.53
08177,37.94,1.34
08178,45.46,12.08
08179,17.85,48.63
08180,4.4,8895.23
08181,36.76,290.42
08182,27.46,146.25
08183,2.23,2891.93
08184,32.17,2441.68
08185,48.02,4.91
08187,37.53,5760.83
08188,44.85,3.37
08189,22.03,7.22
08190,66.97,4.23
08191,65.3,102.86
08192,16.75,451.7
08193,17.81,80.74
08194,3.9,9559.74
08195,13.6,6.76
08196,5.64,4818.26
08197,11.86,940.13
08198,13.92,458.55
08199,34.66,26.34
08200,22.02,3803.59
08201,20.05,28.58
08202,65.42,277.84
08203,15.82,225.66
08204,10.78,388.96
08205,48.21,1950.05
08206,6.29,159.62
08207,10.65,281.41
08208,18.48,420.51
08209,13.21,681.07
08210,15.03,426.21
08211,11.98,3794.91
08212,23.04,26.78
08213,22.12,403.98
08214,8.98,1010.47
08215,0.9,3941.11
08216,21.28,1.32
08217,5.62,6072.95
08218,16.37,664.08
08219,3.96,5286.87
08220,16.2,194.57
08221,7.79,2487.68
08222,19.43,126.56
08223,41.17,61.06
08224,25.89,45.81
08225,14.72,7.27
08226,39.01,31.68
08227,35.28,93.14
08228,3.87,88.89
08229,102.32,6.0
08230,6.5,1602.92
08231,40.88,771.16
08232,5.34,451.5
08233,55.0,45.24
08234,34.45,135.59
08235,7.44,744.35
08236,13.84,171.03
08237,8.16,262.87
08238,14.46,1393.91
08239,25.89,25.49
08240,18.95,677.57
08241,30.69,2.48
08242,13.35,20.3
08243,8.66,20.67
08244,7.44,1111.96
08245,7.09,16824.96
08246,6.98,323.64
08247,13.9,101.37
08248,13.97,539.58
08249,3.31,114.2
08250,27.7,367.94
08251,17.43,439.7
08252,8.2,4026.34
08253,24.93,6.46
08254,62.05,35.42
08255,51.71,3.48
08256,4.44,198.65
08257,25.3,5.1
08258,65.95,16.15
08259,16.95,570.27
08260,15.68,1660.27
08261,12.62,289.22
08262,17.39,567.45
08263,9.28,3029.63
08264,7.9,825.7
08265,6.59,315.17
08266,30.86,1854.08
08267,28.45,328.54
08268,47.11,25.26
08269,30.51,121.14
08270,43.7,691.46
08271,13.79,5.66
08272,30.86,6.84
08273,55.92,56.31
08274,23.61,250.87
08275,18.9,17.41
08276,43.5,7.47
08277,29.29,7.58
08278,27.36,244.41
08279,70.12,3180.42
08280,32.79,3.45
08281,6.72,972.02
08282,7.95,1133.21
08283,16.5,507.15
08284,84.52,210.46
08285,13.52,1076.41
08286,14.95,257.66
08287,23.72,60.24
08288,37.04,66.93
08289,13.68,447.81
08290,7.46,280.97
08291,40.5,174.86
08292,6.43,213.84
08293,28.06,9.19
08294,22.18,137.6
08295,23.85,647.3
08296,10.62,244.26
08297,38.97,4.59
08298,30.79,1536.83
08299,22.23,19.07
08300,20.08,379.53
08301,20.06,3325.37
08302,10.48,1215.27
08303,58.03,5.41
08304,9.38,120.26
08305,19.92,2006.48
08306,5.85,129.57
08307,33.87,1991.67
08308,67.21,2.6
08901,49.08,6.03
08902,15.52,356.64
08903,11.65,20.17
08904,0.93,14223.66
08905,5.39,559.37
09001,35.07,0.83
09003,10.28,19.16
09006,17.95,3.12
09007,9.45,5.5
09009,12.36,17.88
09010,8.33,3.96
09011,51.69,1.41
09012,34.39,3.05
09013,8.22,5.72
09014,139.85,1.37
09016,12.51,9.27
09017,13.44,11.76
09018,127.28,259.93
09019,26.68,5.92
09020,57.1,5.04
09021,18.5,2.54
09022,13.59,5.22
09023,31.44,57.76
09024,27.99,6.29
09025,7.02,16.81
09026,77.74,5.39
09027,12.25,3.76
09029,24.78,7.34
09030,41.68,3.14
09032,36.89,2.79
09033,21.39,3.74
09034,64.37,4.99
09035,36.52,8.82
09036,15.44,2.01
09037,64.16,1.75
09038,15.19,9.48
09039,20.76,3.13
09041,3.88,8.25
09043,46.72,3.98
09044,23.49,2.17
09045,120.67,2.42
09046,7.76,2.71
09047,10.23,5.57
09048,133.41,13.15
09050,33.4,1.62
09051,15.71,11.46
09052,7.84,3.44
09054,33.25,3.01
09055,21.08,2.42
09056,81.2,79.62
09057,9.93,19.74
09058,13.28,45.56
09059,107.06,1625.73
09060,18.56,7.44
09061,26.57,6.25
09062,19.83,2.02
09063,12.98,19.11
09064,47.63,8.8
09065,23.92,7.07
09066,13.24,4.23
09067,29.53,14.76
09068,3.14,7.96
09070,24.03,1.25
09071,42.66,1.05
09072,25.68,17.45
09073,9.21,153.53
09074,12.19,96.39
09075,11.28,9.66
09076,13.26,1.89
09077,7.92,3.66
09078,6.81,4.7
09079,9.93,4.93
09082,4.95,6.67
09083,13.98,1.79
09084,14.45,11.97
09085,26.42,24.53
09086,22.54,36.11
09088,17.44,3.27
09090,22.05,2.22
09091,136.07,5.57
09093,13.47,14.11
09094,23.3,2.32
09095,12.57,8.11
09098,63.7,8.35
09100,16.25,3.2
09101,15.29,5.1
