Codigo Municipio,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros
03010,14.0,9.0,23.0
50017,87.0,96.0,184.0
44016,39.0,23.0,62.0
50018,252.0,162.0,415.0
22020,4.0,7.0,11.0
43008,10.0,19.0,29.0
46024,22.0,16.0,38.0
46025,156.0,165.0,321.0
49005,4.0,3.0,7.0
29003,11.0,13.0,24.0
29004,66.0,62.0,127.0
26011,647.0,520.0,1167.0
46026,81.0,47.0,128.0
25013,218.0,104.0,322.0
46027,58.0,60.0,118.0
03011,5305.0,5428.0,10733.0
46023,32.0,28.0,60.0
25014,12.0,20.0,32.0
12007,10.0,12.0,22.0
43009,91.0,82.0,173.0
50019,3.0,2.0,5.0
27002,35.0,27.0,62.0
09011,,1.0,1.0
39001,38.0,59.0,96.0
09907,94.0,80.0,174.0
09012,1.0,,1.0
41007,356.0,363.0,720.0
24002,3.0,,3.0
07004,448.0,415.0,863.0
41008,17.0,13.0,30.0
11003,5.0,9.0,14.0
19016,,2.0,2.0
46028,31.0,24.0,55.0
18012,71.0,48.0,119.0
16013,0.0,,0.0
29005,490.0,477.0,967.0
29006,22.0,36.0,58.0
11004,5879.0,4903.0,10782.0
46029,1586.0,1481.0,3068.0
25015,14.0,13.0,27.0
28009,1536.0,1731.0,3267.0
46030,43.0,43.0,86.0
12008,25.0,24.0,49.0
46031,715.0,558.0,1273.0
11005,101.0,114.0,215.0
49006,,1.0,1.0
19017,5.0,9.0,14.0
03012,987.0,1012.0,1998.0
25016,288.0,178.0,465.0
30007,981.0,653.0,1634.0
03013,76.0,55.0,131.0
04010,16.0,12.0,28.0
04011,250.0,197.0,447.0
50020,87.0,79.0,166.0
18013,636.0,268.0,903.0
30008,2211.0,1841.0,4052.0
13010,8.0,12.0,20.0
29007,2103.0,2250.0,4353.0
29008,2471.0,2372.0,4843.0
18014,279.0,244.0,524.0
19018,2.0,4.0,7.0
10017,17.0,11.0,28.0
44017,13.0,14.0,27.0
16014,6.0,7.0,13.0
03014,28628.0,28607.0,57236.0
04012,2.0,,2.0
18015,1.0,6.0,7.0
24003,14.0,12.0,26.0
25017,6.0,10.0,16.0
43010,21.0,19.0,40.0
19019,,,
10018,11.0,16.0,26.0
42016,,,
21002,454.0,489.0,943.0
06009,4.0,5.0,9.0
20006,3.0,5.0,8.0
33001,38.0,38.0,77.0
32001,264.0,260.0,524.0
44021,2.0,4.0,5.0
33002,179.0,185.0,363.0
31011,19.0,29.0,48.0
