Codigo Municipio,Nº viviendas
08011,1176.0
05019,34465.0
33004,41338.0
08012,1128.0
17012,547.0
08013,938.0
32004,2140.0
01010,1311.0
21010,15877.0
31041,1515.0
22039,930.0
40024,1539.0
02011,988.0
12017,368.0
49018,438.0
46044,3250.0
34020,67.0
31042,1655.0
44031,179.0
22040,200.0
22041,103.0
20017,5166.0
22042,103.0
41012,1689.0
41013,2728.0
26022,280.0
20018,6661.0
06014,4789.0
50039,716.0
12018,407.0
31043,63.0
19046,13051.0
45017,231.0
37038,641.0
04019,238.0
06015,72047.0
08015,92873.0
26023,563.0
44032,43.0
08904,5679.0
41014,1511.0
50040,116.0
22043,113.0
14007,9589.0
23009,8612.0
08016,1762.0
44033,425.0
50041,35.0
47012,133.0
09033,143.0
19047,227.0
23010,7911.0
22044,225.0
36003,8565.0
25039,369.0
31044,199.0
48012,3073.0
25040,8261.0
02012,1240.0
09034,259.0
24009,339.0
50042,39.0
22045,155.0
27004,1005.0
08017,1692.0
20904,57.0
02014,428.0
13022,358.0
22046,565.0
48090,3727.0
03020,118.0
02013,401.0
08018,1749.0
34022,1205.0
32005,879.0
22047,116.0
32006,1672.0
07007,517.0
03021,4103.0
43020,1600.0
17015,9596.0
15007,1984.0
26024,296.0
24010,7194.0
37039,307.0
44034,168.0
01011,240.0
23011,1771.0
32007,2025.0
10024,695.0
26026,1024.0
26025,151.0
19048,64.0
09035,423.0
19049,75.0
09036,45.0
34024,24.0
16027,1346.0
48013,45315.0
27901,1569.0
31901,8185.0
42029,288.0
31045,348.0
32008,5419.0
37040,380.0
09037,174.0
09038,233.0
09039,171.0
37041,75.0
31046,29.0
22048,9067.0
11007,12874.0
25041,380.0
43021,468.0
08252,13233.0
50043,266.0
40025,214.0
22049,62.0
22050,110.0
42030,171.0
22051,64.0
06016,2107.0
08019,811106.0
34025,86.0
39009,3166.0
39010,470.0
37042,58.0
16029,227.0
47013,116.0
49019,172.0
45018,313.0
05021,2496.0
32009,9002.0
42031,110.0
50044,227.0
39011,1601.0
45019,5408.0
31047,227.0
31048,163.0
24011,129.0
38007,1245.0
25042,174.0
12020,186.0
44035,196.0
05022,2432.0
10025,415.0
02015,1017.0
27005,4736.0
48014,715.0
09041,34.0
19050,53.0
09043,251.0
09044,71.0
24012,364.0
11008,9883.0
36002,1580.0
05023,148.0
37044,407.0
34027,1886.0
47014,41.0
01013,512.0
46046,1153.0
46045,860.0
31049,488.0
40026,157.0
48015,19035.0
17016,509.0
09045,397.0
34028,140.0
09046,79.0
16030,46.0
25044,107.0
37045,32.0
43022,1160.0
06017,198.0
28017,993.0
25045,63.0
04020,231.0
04021,189.0
42032,205.0
42033,65.0
18023,10695.0
31050,4337.0
44036,48.0
32010,360.0
16031,140.0
32011,905.0
21011,2479.0
18024,486.0
18025,169.0
23012,3583.0
20019,6114.0
05024,612.0
05025,164.0
44037,708.0
27006,2464.0
34029,640.0
28018,4128.0
47015,260.0
04022,834.0
48092,544.0
23902,1939.0
23014,1651.0
27007,2174.0
08020,2906.0
17013,5225.0
31137,120.0
31051,261.0
04023,152.0
20020,102.0
37046,9418.0
12022,893.0
14008,2165.0
31052,89.0
20021,116.0
09047,66.0
50045,1408.0
37047,106.0
46047,397.0
25046,451.0
16032,351.0
25170,246.0
17018,479.0
25047,684.0
25048,944.0
43023,352.0
25049,142.0
44039,363.0
08021,78.0
25050,2323.0
46048,4089.0
46049,240.0
43024,1266.0
25051,2600.0
25052,1045.0
14009,1964.0
23015,1106.0
16033,1617.0
34031,16.0
50046,201.0
33005,1925.0
44038,151.0
28019,967.0
16034,247.0
09048,1903.0
22052,704.0
49020,361.0
45020,1531.0
10026,664.0
24014,5592.0
22053,1001.0
41015,2994.0
29022,245.0
47016,82.0
12024,249.0
12025,253.0
46050,247.0
46051,6363.0
04024,2017.0
29023,3906.0
29024,326.0
29025,42378.0
18027,1772.0
18028,748.0
11901,3445.0
29026,865.0
18029,1533.0
14010,2785.0
29027,1330.0
11009,676.0
29028,964.0
29029,457.0
12026,1319.0
03022,162.0
22054,3349.0
23016,386.0
25053,617.0
49021,11449.0
24015,2182.0
46052,342.0
49022,187.0
03023,1156.0
46053,326.0
03024,2646.0
46054,7076.0
03025,960.0
03026,1354.0
03027,215.0
46055,818.0
03028,767.0
46056,177.0
12027,17141.0
12028,20939.0
46057,324.0
46904,488.0
03030,814.0
03031,58011.0
30010,4176.0
46060,6258.0
46059,912.0
46058,1192.0
43025,492.0
03032,149.0
03033,130.0
46061,210.0
46062,2843.0
03029,470.0
03034,2090.0
03035,563.0
03036,59.0
03037,405.0
03038,350.0
03039,99.0
03040,297.0
46063,1301.0
46064,347.0
46065,935.0
46066,630.0
46067,1206.0
03041,11029.0
43026,576.0
46068,251.0
46069,122.0
03042,4139.0
04026,125.0
04027,307.0
12029,833.0
10027,117.0
06018,959.0
04028,226.0
24016,410.0
31250,1716.0
48016,2761.0
01014,298.0
22246,106.0
20022,483.0
42034,79.0
22055,323.0
09050,114.0
31053,427.0
26027,196.0
47017,171.0
47018,18.0
18030,780.0
40028,141.0
05026,150.0
24017,454.0
24018,203.0
40029,92.0
50047,93.0
08022,9120.0
20074,6899.0
26028,189.0
26029,61.0
44040,245.0
15008,4015.0
31905,1596.0
04029,7677.0
05027,242.0
06019,1672.0
42035,1125.0
24019,225.0
09051,161.0
37049,179.0
48017,8432.0
49023,1052.0
40030,535.0
01016,568.0
19051,202.0
40031,872.0
05029,90.0
48018,544.0
31902,2748.0
31903,3887.0
48019,2072.0
20023,274.0
21012,261.0
37050,81.0
37051,96.0
10028,323.0
05030,86.0
47019,90.0
50048,53.0
28021,831.0
31054,321.0
10029,508.0
09052,50.0
28020,171.0
34032,130.0
