Codigo Municipio,Total impuestos (Millones euros)
30012,3.07740906
31012,0.331
32012,0.0905
33012,2.086
34012,0.08173
35012,15.238
36012,0.52
37012,0.02372
38012,0.428309
39012,2.57
40012,0.075
41012,2.18003449
42012,0.01505
43012,4.25334425
44012,0.0
44012,0.0
45012,0.23425122
46012,0.59214087
47012,0.04951424
48012,0.9829557099999999
49012,0.0
50012,0.02707348
01013,0.40344755
02013,0.078
03013,0.391
04013,76.562921
05013,0.311
06013,0.04968603
07013,4.2836
08013,0.75
09013,0.02348
10013,0.066
11013,1.3994653700000002
12013,0.056074
13013,2.477
14013,7.8791
15013,1.40335594
16013,0.0741
17013,0.0
18013,1.434
19013,0.070615
20013,1.608601
21013,3.67496162
22013,0.061378
25013,0.5623
26013,0.3535
27013,2.09334421
28013,20.5178
29013,0.512
30013,3.10355047
31013,0.1791
32013,0.4095
33013,0.246
35013,1.88680504
36013,0.592572
37013,0.01483366
38013,1.48382244
39013,0.128814
40013,0.0286
41013,0.0
42013,0.00869
43013,3.7392
44013,0.0
44013,5.4
45013,0.433
46013,8.0233109
47013,0.0377
48013,26.5
49013,0.05076398
50013,0.0
50013,0.065
01014,0.0
02014,0.0
03014,122.06959376
04014,0.01759
05014,2.293
06014,2.462
07014,7.181
08014,1.27849996
09014,0.082
10014,0.28025
11014,8.951
12014,0.07071367999999999
13014,0.13971398999999998
14014,0.9255
15014,0.7
16014,0.269672
17014,0.0
18014,3.587681
20014,0.7235
21014,1.46768
22014,0.6696
23014,0.937
24014,2.27576577
25014,0.151973
26014,0.111
27014,0.5762086799999999
28014,28.6
29014,0.04713981
30014,0.6246
31014,0.1045
32014,0.17112019
33014,8.052
35014,9.675
36014,0.25880829
37014,1.80562408
38014,0.825262
39014,0.1915
40014,0.0
41014,0.6335625600000001
42014,0.0
43014,8.932353789999999
44014,0.0
44014,0.8114
45014,1.2272
46014,1.9773
47014,0.0119
48014,0.3613289
49014,0.028
50014,0.0
50014,0.0
02015,0.50839899
03015,5.579
04015,0.018
05015,0.0281
06015,54.05379814
07015,14.762954109999999
08015,76.02883
10015,0.16502092000000002
11015,35.5721
12015,0.02833
13015,2.14011991
14015,0.57315
15015,0.8882
16015,0.0
17015,6.82386198
18015,0.048
19015,0.04776283
20015,0.236
21015,0.1061
22015,0.20065
23015,0.0
24015,0.5746005
25015,0.1809
26015,0.094
27015,0.62617602
28015,16.13918718
29015,13.19100989
30015,10.0295
31015,0.95
32015,0.21576585
33015,0.26182443
34015,0.0
35015,19.9895909
36015,0.8876823
37015,0.0
38015,0.71615
39015,0.3354
40015,0.0143
41015,0.0
42015,0.0839
43015,0.0199
44015,0.0
45015,0.1615
46015,3.30539676
47015,0.0791
48015,12.80769177
49015,0.042695
50015,0.0
50015,0.0
01016,0.26716098
02016,0.10722641000000001
03016,0.031418959999999996
04016,1.233
05016,3.135682
06016,0.8869
07016,0.86913072
08016,0.9186
09016,0.133925
10016,0.038727279999999996
11016,14.88747232
12016,0.525979
13016,0.22358285
14016,0.43529998
15016,1.162
16016,0.106
17016,0.0
18016,0.0357
19016,0.0
20016,0.685001
21016,0.24022176
22016,0.0
23016,0.1368
24016,0.0
25016,1.0055
26016,0.01721
27016,2.1801431799999995
28016,0.18417545999999999
29016,0.0858
30016,91.11748
31016,3.2234954699999996
32016,0.15400101000000002
33016,7.34468724
35016,115.52967113
36016,0.154
37016,0.181
38016,0.51384183
39016,11.376
40016,0.0
41016,5.1855382400000005
42016,0.014467800000000001
43016,2.67849325
44016,0.0
44016,0.1225
45016,1.2731
46016,0.32495
47016,0.027191
48016,1.3
49016,0.0414
50016,0.0
50016,0.012
01017,0.268625
02017,0.12331065
03017,0.132888
04017,0.6755
05017,0.016
06017,0.0578
07017,0.247865
08017,1.2285
09017,0.0
10017,0.0
11017,0.7453095
12017,0.0527
13017,0.13078327
14017,3.94413195
15017,5.35155223
16017,0.0
18017,15.94829548
19017,0.0
20017,3.0159
21017,0.668591
22017,0.40484746000000005
23017,0.42628806
24017,0.12585
25017,0.05211631
26017,0.3394
27017,0.097
28017,0.6665
29017,2.9825
30017,4.551
31017,0.0
32017,0.539568
33017,1.52415822
34017,0.562
35017,12.08012632
36017,2.7991
37017,0.05365
38017,11.67025
39017,0.38591114000000004
40017,0.0
41017,5.415
42017,0.044509
43017,0.077
44017,0.0
44017,0.0
45017,0.040614
46017,17.9258
47017,0.0522
48017,3.98
49017,0.12882646
50017,0.0
50017,0.781
01018,1.1878155400000001
02018,0.9164
03018,11.40895762
04018,0.0506
05018,0.02156832
06018,0.2953823
07018,1.066
08018,1.2459
09018,10.7
10018,0.40805934000000005
11018,0.550917
12018,0.09241408999999999
13018,0.29254
14018,1.03401216
15018,0.2526
16018,0.0
17018,0.202057
18018,0.12642458
19018,0.0755
20018,4.8855
21018,0.46875958
22018,0.10404442
23018,0.0
24018,0.0241
26018,5.0354116399999995
