Codigo Municipio,Superficie Km2,Densidad Poblacion
06011,164.25,208.94
06012,50.12,84.86
06013,22.68,14.15
06014,497.89,16.62
06015,1440.37,105.23
06016,136.11,27.24
06017,62.1,5.57
06018,102.81,9.07
06019,127.79,19.36
06020,92.17,25.16
06021,68.37,16.63
06022,187.54,17.57
06023,475.02,11.29
06024,64.0,22.5
06025,7.85,803.57
06026,68.38,15.4
06027,52.23,17.92
06028,257.32,20.57
06029,234.04,6.24
06030,146.99,1.31
06031,39.22,14.74
06032,12.77,7.05
06033,144.54,11.74
06034,49.8,4.26
06035,132.24,8.75
06036,432.04,14.97
06037,69.63,33.32
06038,36.87,26.77
06039,81.17,27.52
06040,42.32,31.78
06041,15.81,35.74
06042,47.94,25.89
06043,32.07,23.73
06044,561.71,65.26
06045,9.74,62.63
06046,16.73,92.83
06047,21.7,49.08
06048,208.61,4.88
06049,73.72,17.7
06050,236.65,21.88
06051,191.92,10.28
06052,251.77,19.82
06053,115.36,6.57
06054,179.7,38.56
06055,109.86,22.87
06056,84.14,6.55
06057,129.32,4.96
06058,33.47,74.6
06059,151.69,15.08
06060,238.84,30.63
06061,86.57,15.59
06062,309.62,2.38
06063,277.31,13.35
06064,58.39,17.83
06065,113.4,3.23
06066,67.59,31.19
06067,125.64,19.61
06068,46.1,11.8
06069,295.94,12.97
06070,739.93,13.4
06071,8.1,36.79
06072,57.65,49.21
06073,71.5,12.94
06074,162.68,36.78
06075,75.82,7.65
06076,97.87,10.66
06077,26.24,16.96
06078,26.33,24.42
06079,38.23,19.8
06080,64.95,36.24
06081,87.37,15.06
06082,43.81,10.61
06083,865.19,66.8
06084,41.59,32.82
06085,322.35,13.49
06086,202.72,7.42
06087,314.99,8.58
06088,119.68,135.92
06089,43.39,16.99
06090,45.03,23.67
06091,251.17,19.24
06092,80.66,8.91
06093,149.33,37.09
06094,254.51,7.26
06095,430.14,27.92
06096,16.68,17.09
06097,37.05,79.76
06098,40.52,17.2
06099,78.21,17.94
06100,47.33,23.87
06101,163.73,3.75
06102,296.35,4.24
06103,14.25,422.39
06104,131.72,6.4
06105,79.17,9.85
06106,35.88,14.8
06107,23.65,82.24
06108,56.69,50.77
06109,141.55,35.4
06110,72.43,2.68
06111,10.78,61.41
06112,96.12,5.17
06113,185.62,18.76
06114,39.48,4.1
06115,109.61,13.86
06116,71.8,28.16
06117,74.96,23.73
06118,33.56,7.24
06119,22.73,38.76
06120,73.05,59.49
06121,119.73,36.34
06122,108.62,75.9
