Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
49032,*,40
39015,35,130
44053,*,15
25062,50,60
45031,170,240
44054,10,15
45032,15,30
39016,1025,1205
44055,*,15
15016,245,445
43903,170,190
28032,270,185
49033,15,75
41021,370,650
36006,555,1145
23018,*,140
15017,575,1285
43038,1410,1515
10041,35,55
44056,35,60
17035,30,55
41022,85,130
06028,125,265
07012,60,105
47030,55,110
24032,*,15
17036,120,80
17037,*,15
03050,1065,1010
01017,40,75
16042,40,125
50071,*,20
09065,*,15
23019,70,75
37074,*,15
10042,*,*
19059,*,25
45033,20,25
06029,45,95
19060,10,30
21018,25,35
47031,15,10
29032,315,365
16043,*,10
16044,*,*
08039,20,45
19061,*,20
17038,30,40
22074,5,25
13028,440,710
03051,10,20
37077,10,35
40039,10,40
24033,*,20
36007,90,45
10043,25,90
28033,135,280
21019,30,25
09066,*,10
24034,110,170
39027,75,210
39017,20,90
47032,10,25
22075,*,15
46080,50,120
07013,355,480
16901,20,90
30014,*,35
18038,40,40
17039,140,190
26037,*,20
45034,70,80
22076,10,50
47033,15,35
16045,20,20
05046,*,*
26038,*,20
46081,300,535
33010,*,90
22077,5,65
38011,880,635
37078,25,60
05047,275,405
42049,*,15
24036,20,30
25063,*,*
23020,100,55
28034,20,25
17040,40,40
08040,415,865
46082,285,280
12036,20,120
22078,70,45
36008,890,945
33012,215,240
33011,675,990
09067,50,25
18039,75,300
37079,*,25
29033,45,140
29034,25,40
47034,*,10
26039,*,10
04030,60,85
43907,*,*
08041,285,670
08042,105,155
19064,*,*
09068,*,*
37080,10,25
37081,35,80
40040,225,190
17041,*,15
19065,*,25
37082,40,70
37083,*,5
44059,45,115
41023,195,405
40041,30,80
05048,*,10
04031,60,180
08043,135,210
03052,45,55
44060,*,*
13029,*,5
44061,*,*
16046,*,30
16047,10,35
41901,75,170
44062,*,*
42050,*,*
16048,10,20
10044,100,110
18040,*,15
26040,*,*
16049,15,5
10045,*,50
21020,*,20
16050,5,35
16051,*,30
16052,20,40
14014,90,95
29035,75,75
36009,100,145
49034,15,30
19066,*,10
44063,*,*
16053,*,10
49035,*,15
43039,*,10
31065,75,175
43040,15,25
07014,470,515
22079,*,10
15018,*,170
22080,20,40
08044,175,160
18042,25,55
06030,0,10
34045,*,5
17042,50,55
08045,*,*
42051,*,*
28035,*,80
42052,*,*
13030,*,20
18043,*,*
30015,935,1210
33013,35,30
09070,*,*
49036,20,45
10046,10,10
37085,305,195
32018,70,140
32017,*,30
27009,45,305
32019,685,875
15019,925,1850
49037,*,35
04032,410,340
16055,40,65
40043,100,175
23021,20,15
10047,30,30
14015,75,95
46083,440,685
31066,55,70
31067,60,135
09071,*,*
09072,20,10
02020,25,25
46084,*,85
23901,40,85
08046,615,655
26041,10,10
16056,15,30
14016,70,60
09073,70,45
09074,45,80
05049,10,35
34046,*,*
09075,10,10
45035,15,10
08047,175,310
19067,*,10
50072,*,15
50073,85,155
15901,215,235
46085,515,590
14017,420,305
08048,30,45
45036,*,50
24037,20,*
41024,490,970
06031,*,*
15020,55,305
23024,375,455
47035,40,120
37086,*,10
45037,50,145
14018,205,185
24038,95,200
15021,305,410
45038,215,340
37087,45,35
37088,*,20
40044,*,15
10048,*,30
06032,*,*
16057,*,*
42053,*,*
16058,5,5
42054,*,*
29036,*,30
33014,235,470
05051,*,30
09076,*,*
45039,15,25
46086,*,*
13031,90,155
41025,40,135
34047,110,220
24039,175,235
13032,60,60
24040,*,15
30016,4965,6000
29037,*,10
29038,560,815
21021,660,365
32020,105,365
39018,145,165
24041,30,45
19070,*,*
29039,170,110
37089,*,10
26042,75,55
10049,165,300
45040,90,50
10050,35,70
19071,445,670
29040,65,115
42055,10,5
29041,150,110
10051,*,40
41026,125,235
45041,270,180
28036,130,120
46087,5,10
46088,10,15
16060,40,55
10052,*,*
10053,*,15
06033,65,130
16061,85,70
16062,*,*
16063,5,*
16064,45,45
02021,85,100
02022,*,30
16065,35,40
10056,*,25
10057,*,*
06034,20,5
19073,*,*
02023,15,55
10054,20,*
37090,*,*
10055,15,25
05052,*,15
45042,*,10
49038,*,*
49039,10,30
02024,215,290
16066,180,295
05053,*,*
47036,*,20
10058,30,35
05054,40,95
22081,*,45
09077,*,*
09078,*,*
31068,120,200
44064,*,*
31069,*,50
43041,20,30
05055,10,25
10059,*,*
37091,*,25
46089,80,270
40045,10,20
33015,95,275
50074,360,640
19074,10,*
17044,295,275
08049,40,120
03053,250,375
10060,35,55
26043,*,40
39019,70,125
21022,15,25
18044,*,*
16067,10,10
31070,90,165
50075,10,15
19075,*,*
50076,*,*
22083,*,75
22084,65,60
44065,*,10
50077,10,10
22082,5,15
44066,*,10
22085,*,30
12037,*,*
03054,*,25
03075,35,15
08057,*,*
25904,*,*
07064,340,370
09079,*,10
37092,60,110
37185,30,25
05056,*,*
23025,140,130
11013,95,65
19076,*,*
25064,10,25
08052,*,30
13033,70,100
08050,*,*
08051,865,840
44070,*,*
08053,95,265
08054,270,575
08055,45,45
25067,70,90
08056,2745,2425
08058,85,85
17046,25,55
08060,10,25
08059,*,45
12038,*,20
08061,25,65
08062,50,60
25068,50,35
12039,25,50
25069,20,45
46090,75,80
17047,480,680
08063,10,20
12040,5740,5405
46091,*,*
