Codigo Municipio,Superficie (Ha) Agricolas,Nº Explotaciones Agrícolas
31901,59.290000000000006,
32008,67.22,34.0
37040,2284.62,40.0
09037,6028.88,11.0
09038,841.5400000000002,13.0
09039,1109.78,8.0
37041,3348.2999999999993,50.0
31046,485.15999999999997,33.0
22048,8831.800000000005,493.0
11007,13545.300000000001,143.0
25041,625.8499999999999,42.0
43021,2338.15,114.0
08252,195.11999999999998,7.0
50043,1255.4300000000003,56.0
40025,2929.69,58.0
22049,1663.1600000000003,40.0
22050,1882.86,36.0
42030,2407.8299999999995,44.0
22051,4169.01,104.0
06016,10936.61,380.0
08019,1249.5000000000002,75.0
34025,891.3199999999998,16.0
39009,2519.1900000000005,109.0
39010,3055.84,64.0
37042,1870.0199999999995,28.0
16029,4010.03,33.0
47013,2679.8899999999994,43.0
49019,1473.03,54.0
45018,1156.1,6.0
05021,1607.37,60.0
32009,588.24,201.0
42031,2913.5800000000004,26.0
50044,1551.5699999999997,73.0
39011,2106.51,131.0
45019,7313.9100000000035,158.0
31047,1446.1499999999999,93.0
31048,193.50000000000006,34.0
24011,2187.45,59.0
38007,255.75999999999993,259.0
25042,6343.28,86.0
12020,1611.91,63.0
44035,2244.27,24.0
05022,8329.689999999997,254.0
10025,733.0499999999997,188.0
02015,17794.829999999994,199.0
27005,2857.399999999999,434.0
48014,145.26000000000005,49.0
09041,415.06000000000006,14.0
19050,274.98999999999995,
