Codigo Municipio,Nº edificios,Nº Inmuebles
16016,272.0,277.0
41010,2332.0,2419.0
04013,31149.0,103706.0
46033,159.0,175.0
50021,28.0,35.0
04014,160.0,163.0
13015,3183.0,4053.0
16017,384.0,438.0
14005,2974.0,3812.0
29011,1691.0,1899.0
19021,857.0,960.0
44018,67.0,67.0
10020,1099.0,1161.0
46034,731.0,1227.0
50022,349.0,377.0
50023,177.0,179.0
50024,508.0,553.0
45012,628.0,747.0
19022,713.0,809.0
16018,330.0,347.0
21004,1496.0,1550.0
21005,9135.0,14584.0
03015,3893.0,10293.0
45013,1870.0,2580.0
43011,556.0,668.0
03016,156.0,156.0
22021,1247.0,1502.0
50025,1983.0,3424.0
22022,427.0,472.0
22023,277.0,282.0
18017,5585.0,27239.0
13016,504.0,624.0
46035,1381.0,4631.0
44019,105.0,107.0
19023,172.0,174.0
48912,300.0,1607.0
29012,4452.0,6236.0
25022,132.0,163.0
21006,2270.0,2342.0
19024,3340.0,4500.0
29013,1127.0,1452.0
17006,1033.0,3721.0
29014,270.0,287.0
42023,121.0,121.0
50026,348.0,382.0
28010,3882.0,7252.0
08004,197.0,250.0
44020,36.0,36.0
02010,1517.0,1697.0
25023,1962.0,2674.0
46036,1007.0,1066.0
18904,919.0,1004.0
03017,229.0,253.0
46037,603.0,851.0
12901,1660.0,2276.0
22024,197.0,237.0
18018,492.0,528.0
04015,108.0,124.0
25024,386.0,721.0
09013,43.0,43.0
43012,1835.0,4638.0
16019,401.0,417.0
03018,5225.0,16735.0
22025,529.0,731.0
09014,435.0,471.0
31010,1003.0,3814.0
12012,1909.0,2942.0
20906,61.0,67.0
20007,129.0,173.0
19027,378.0,414.0
46017,8019.0,25225.0
05012,194.0,207.0
34009,37.0,38.0
50027,281.0,300.0
28011,720.0,736.0
17007,910.0,1371.0
15002,4887.0,16178.0
31013,424.0,466.0
43013,4320.0,8013.0
08005,2890.0,3388.0
09016,77.0,81.0
20008,220.0,443.0
33003,584.0,601.0
32002,1781.0,1827.0
48003,1499.0,9174.0
48004,116.0,188.0
43906,1146.0,3631.0
43014,4506.0,11554.0
34010,523.0,578.0
39002,1456.0,3598.0
01002,1316.0,5154.0
34011,352.0,397.0
47009,106.0,107.0
44024,60.0,60.0
40017,98.0,104.0
37029,182.0,195.0
28012,445.0,603.0
13017,421.0,439.0
31014,236.0,280.0
49009,315.0,320.0
46038,630.0,687.0
20009,831.0,6879.0
44025,2287.0,4284.0
31015,968.0,1511.0
07005,4624.0,9521.0
23005,6818.0,19997.0
50028,131.0,139.0
17008,1246.0,2524.0
25027,582.0,767.0
19031,89.0,91.0
26013,483.0,881.0
22027,310.0,341.0
26014,490.0,634.0
19032,415.0,436.0
09017,174.0,176.0
39003,168.0,169.0
50029,495.0,620.0
46039,1030.0,1663.0
20010,145.0,811.0
19033,144.0,154.0
19034,70.0,70.0
22028,367.0,544.0
31016,398.0,4584.0
04016,1281.0,1712.0
27003,1274.0,1567.0
46040,648.0,898.0
29015,9166.0,18287.0
35003,3026.0,8387.0
24005,321.0,334.0
34012,395.0,431.0
22029,59.0,59.0
20011,262.0,1069.0
31017,240.0,287.0
01049,181.0,214.0
40018,98.0,102.0
50030,218.0,230.0
14006,780.0,888.0
31018,304.0,331.0
45014,2231.0,2468.0
37030,60.0,60.0
31019,596.0,1495.0
37031,307.0,311.0
21007,3975.0,4810.0
38004,2321.0,2775.0
22032,130.0,173.0
41011,6475.0,8374.0
40019,101.0,109.0
31020,249.0,310.0
48005,46.0,72.0
31025,457.0,533.0
20012,53.0,87.0
01003,423.0,706.0
31021,31.0,32.0
42024,88.0,89.0
09018,3643.0,20168.0
50031,311.0,371.0
50032,439.0,466.0
09019,207.0,215.0
16020,73.0,73.0
15003,1073.0,1110.0
31023,1581.0,2966.0
28013,6078.0,25701.0
31024,139.0,172.0
31022,247.0,346.0
48006,94.0,189.0
19036,331.0,371.0
12013,266.0,282.0
37032,369.0,528.0
31026,134.0,135.0
46041,615.0,736.0
09020,405.0,448.0
09021,120.0,120.0
09022,148.0,152.0
19037,220.0,226.0
25029,1147.0,1372.0
19038,148.0,152.0
31027,362.0,527.0
36001,2018.0,2267.0
43016,933.0,2523.0
04017,2292.0,2439.0
43015,115.0,122.0
17009,1689.0,3321.0
16905,821.0,1294.0
31028,114.0,118.0
37033,85.0,85.0
49010,267.0,269.0
30009,5458.0,9012.0
29016,417.0,444.0
29017,2949.0,4298.0
45015,805.0,843.0
37034,61.0,63.0
34015,81.0,83.0
40020,471.0,513.0
09023,847.0,867.0
42025,1930.0,2454.0
11006,8056.0,15839.0
49011,157.0,163.0
16022,194.0,205.0
44026,333.0,426.0
31029,598.0,893.0
29018,1270.0,1409.0
50033,85.0,100.0
24006,595.0,601.0
48093,217.0,780.0
31030,104.0,106.0
22035,250.0,339.0
05013,936.0,1211.0
13903,413.0,454.0
29019,862.0,911.0
39004,886.0,1031.0
13018,629.0,685.0
05014,3366.0,6338.0
18020,1101.0,1154.0
42026,85.0,88.0
09024,162.0,165.0
44027,157.0,175.0
08006,2587.0,8817.0
08007,2296.0,4350.0
26015,234.0,270.0
26016,47.0,49.0
15004,2498.0,5325.0
12014,293.0,312.0
31031,192.0,239.0
20013,536.0,3559.0
05015,128.0,134.0
40021,40.0,44.0
05016,1353.0,4944.0
42027,127.0,139.0
13019,3196.0,4070.0
13020,2846.0,3360.0
28014,6562.0,20969.0
24007,611.0,624.0
49012,111.0,114.0
22036,52.0,54.0
19039,124.0,131.0
17010,223.0,253.0
12015,161.0,199.0
08008,162.0,162.0
44028,151.0,153.0
43017,113.0,132.0
08009,3154.0,5510.0
45016,2122.0,2856.0
39005,235.0,1277.0
31032,978.0,1248.0
22037,166.0,174.0
16024,176.0,182.0
49013,222.0,227.0
31033,24.0,26.0
07901,543.0,543.0
31034,27.0,44.0
38005,4193.0,6031.0
09025,299.0,400.0
44029,573.0,701.0
50034,519.0,1042.0
23006,2036.0,3023.0
23007,1471.0,2088.0
09026,508.0,517.0
19040,123.0,133.0
31035,94.0,95.0
17011,646.0,754.0
37035,308.0,315.0
18021,5398.0,10540.0
01006,141.0,153.0
40022,307.0,326.0
04018,193.0,258.0
19041,214.0,230.0
26017,410.0,576.0
26018,1837.0,9010.0
43018,435.0,471.0
32003,706.0,759.0
39006,1158.0,2804.0
21008,1743.0,1866.0
38006,8499.0,47710.0
49014,96.0,100.0
23008,1039.0,1169.0
49015,261.0,268.0
01037,505.0,610.0
16025,59.0,59.0
48009,299.0,472.0
20055,1269.0,11030.0
48914,147.0,202.0
09027,63.0,63.0
01008,446.0,484.0
35004,9877.0,24898.0
39007,583.0,684.0
25031,55.0,55.0
29020,1760.0,2167.0
48010,230.0,308.0
48011,690.0,5882.0
13021,446.0,478.0
31036,580.0,703.0
47010,3148.0,9231.0
10021,2590.0,3762.0
19042,117.0,118.0
06012,1462.0,1747.0
23905,973.0,1204.0
10023,715.0,983.0
28015,5504.0,10043.0
10022,375.0,451.0
21009,683.0,744.0
31037,58.0,70.0
26019,186.0,338.0
25032,109.0,130.0
07006,3433.0,4424.0
31038,796.0,1052.0
12016,1009.0,1308.0
31039,90.0,90.0
48023,287.0,412.0
15005,6588.0,19136.0
35005,595.0,617.0
08010,1456.0,2723.0
25033,561.0,641.0
25034,1638.0,2765.0
50035,59.0,64.0
48008,310.0,358.0
01004,468.0,1157.0
35006,9249.0,16675.0
15006,2466.0,3725.0
43019,691.0,954.0
50036,102.0,113.0
25036,153.0,182.0
49016,250.0,252.0
01009,532.0,1040.0
03019,6043.0,10777.0
20014,372.0,666.0
20903,447.0,2369.0
39008,1793.0,8989.0
24008,2811.0,8446.0
34017,720.0,959.0
49017,446.0,468.0
29021,205.0,219.0
06013,205.0,211.0
16026,132.0,140.0
37037,107.0,108.0
19043,252.0,267.0
09029,202.0,202.0
47011,387.0,442.0
18022,5287.0,9137.0
20015,347.0,782.0
28016,70.0,70.0
50037,232.0,244.0
50038,802.0,1337.0
31040,183.0,223.0
19044,587.0,681.0
48091,244.0,733.0
46003,551.0,792.0
12001,987.0,1111.0
48070,211.0,364.0
19045,356.0,387.0
31058,134.0,188.0
26020,354.0,473.0
42028,111.0,111.0
09030,144.0,144.0
34018,197.0,197.0
34019,114.0,114.0
26021,1013.0,2615.0
05017,112.0,114.0
05018,96.0,96.0
25037,327.0,400.0
09032,116.0,117.0
08011,698.0,1201.0
05019,8056.0,37040.0
33004,5974.0,44756.0
08012,720.0,1161.0
17012,538.0,548.0
08013,772.0,937.0
32004,2104.0,2153.0
01010,795.0,1312.0
21010,4446.0,15874.0
31041,1179.0,1515.0
22039,578.0,973.0
40024,1161.0,1573.0
02011,806.0,990.0
12017,304.0,368.0
49018,406.0,438.0
46044,1870.0,3508.0
34020,65.0,67.0
31042,1022.0,1728.0
44031,176.0,182.0
22040,198.0,200.0
22041,99.0,103.0
20017,1006.0,5458.0
22042,100.0,103.0
41012,1460.0,1705.0
41013,2390.0,2733.0
26022,253.0,293.0
20018,1256.0,7333.0
06014,4039.0,4841.0
50039,690.0,720.0
12018,331.0,416.0
31043,57.0,63.0
19046,4217.0,13133.0
45017,219.0,235.0
37038,548.0,641.0
04019,234.0,244.0
06015,22784.0,77088.0
08015,14952.0,95960.0
26023,411.0,577.0
44032,43.0,43.0
08904,202.0,5679.0
41014,1366.0,1594.0
