Codigo Municipio,Nº de Jubilados,Nº de Estudiantes
16053,155,95
49035,105,15
43039,35,*
31065,580,560
43040,120,55
07014,1755,1870
22079,65,*
15018,430,155
22080,120,55
08044,1210,1005
18042,100,85
06030,60,25
34045,40,*
17042,155,95
08045,*,*
42051,20,*
28035,310,370
42052,*,*
13030,40,15
18043,45,30
30015,4470,5635
33013,160,60
09070,20,*
49036,245,45
10046,90,25
37085,360,1815
32018,595,75
32017,670,150
27009,1045,240
32019,3850,2290
15019,7455,4735
49037,100,25
04032,1140,1420
16055,240,115
40043,550,465
23021,170,125
10047,245,160
14015,645,425
46083,4190,3750
31066,285,215
31067,590,505
09071,30,*
09072,60,70
02020,225,75
46084,495,385
23901,375,275
08046,2545,3825
26041,65,20
16056,200,60
14016,425,275
09073,115,205
09074,150,175
05049,145,75
34046,10,5
09075,20,25
45035,100,50
08047,1465,740
19067,20,5
50072,80,15
50073,665,605
15901,1440,520
46085,2560,3120
14017,2250,2835
08048,200,125
45036,230,140
24037,215,15
41024,5075,5640
06031,165,85
15020,1700,515
23024,2875,3265
47035,275,160
37086,30,10
45037,585,315
14018,955,830
24038,1135,400
15021,1295,925
45038,435,930
37087,70,255
37088,80,30
40044,65,25
10048,160,25
06032,40,*
16057,40,5
42053,15,*
16058,35,20
42054,*,*
29036,250,115
33014,2925,1530
05051,75,25
09076,10,*
45039,80,45
46086,35,15
13031,655,550
41025,470,410
34047,455,335
24039,695,360
13032,385,200
24040,220,45
30016,37170,44425
29037,80,25
29038,3080,4915
21021,2430,3690
32020,1310,205
39018,535,995
24041,270,50
19070,35,15
29039,840,540
37089,15,*
26042,275,200
10049,930,780
45040,435,335
10050,540,155
19071,945,2950
29040,740,465
42055,75,20
29041,1130,975
10051,220,*
41026,895,1160
45041,675,1080
28036,225,805
46087,50,25
46088,80,30
16060,325,140
10052,100,20
10053,125,40
06033,465,300
16061,375,195
16062,15,*
16063,40,10
16064,265,125
02021,345,275
02022,170,30
16065,235,40
10056,230,80
10057,85,15
06034,70,30
19073,10,*
02023,250,80
10054,215,80
37090,30,*
10055,230,140
05052,45,5
45042,70,15
49038,55,10
49039,115,35
02024,935,885
16066,605,570
05053,65,*
47036,100,30
10058,300,255
