COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
2065000000;1020655;2640;2;Albacete;Pozuelo;465;13397,79;48394;2065000201;Pozuelo;434;0816-1;-2,10117384;38,80969625;Mapa;845;MDT
2066000000;1020668;2650;2;Albacete;La Recueja;225;2973,9107;39019;2066000101;La Recueja;225;0744-3;-1,48988779;39,17688319;Mapa;542;MDT
2067000000;1020674;2660;2;Albacete;Riópar;1326;8092,005;55582;2067000401;Riópar;1140;0841-3,0866-1;-2,41839311;38,4998099;Mapa;1126;MDT
2068000000;1020680;2670;2;Albacete;Robledo;391;12008,4392;51626;2068000301;Robledo;244;0815-1;-2,44882682;38,75778452;Mapa;1041;MDT
2069000000;1020693;2680;2;Albacete;La Roda;15401;39888,6;127633;2069000101;La Roda;15285;0742-3;-2,15924796;39,20706504;Mapa;708;MDT
2070000000;1020707;2690;2;Albacete;Salobre;461;4952,8648;39261;2070000201;Salobre;312;0840-2;-2,55057256;38,59195258;Mapa;920;MDT
2071000000;1020714;2700;2;Albacete;San Pedro;1148;8311,597;37014;2071000401;San Pedro;1062;0816-1;-2,186211;38,82654004;Mapa;844;MDT
2072000000;1020729;2710;2;Albacete;Socovos;1750;13903,76;65123;2072000401;Socovos;1130;0889-2;-1,98469065;38,33202632;Mapa;734;MDT
2073000000;1020735;2720;2;Albacete;Tarazona de la Mancha;6184;21268,09;67722;2073000101;Tarazona de la Mancha;6133;0742-2;-1,91280979;39,26539647;Mapa;713;MDT
2074000000;1020740;2730;2;Albacete;Tobarra;7691;32464,95;79846;2074000601;Tobarra;6725;0843-1;-1,69282296;38,5922733;Mapa;652;MDT
2075000000;1020753;2740;2;Albacete;Valdeganga;1947;7065,62;42767;2075000102;Valdeganga;1927;0766-2;-1,67646922;39,13545152;Mapa;667;MDT
2076000000;1020766;2750;2;Albacete;Vianos;327;12803,519;91378;2076000102;Vianos;324;0841-1;-2,50149079;38,632307;Mapa;1118;MDT
2077000000;1020772;2760;2;Albacete;Villa de Ves;62;5775,64;37832;2077000101;Villa de Ves;44;0744-4;-1,25897631;39,22231541;Mapa;744;MDT
2078000000;1020788;2770;2;Albacete;Villalgordo del Júcar;1081;4668,4938;32688;2078000101;Villalgordo del Júcar;1062;0742-1;-2,06309183;39,29598679;Mapa;683;MDT
2079000000;1020791;2780;2;Albacete;Villamalea;4040;12832,89;63758;2079000103;Villamalea;4033;0718-4;-1,59908353;39,36160785;Mapa;739;MDT
2080000000;1020805;2790;2;Albacete;Villapalacios;556;8747,7445;41446;2080000101;Villapalacios;555;0840-4;-2,63505947;38,57467359;Mapa;837;MDT
2081000000;1020812;2800;2;Albacete;Villarrobledo;24978;86239,48;141054;2081000301;Villarrobledo;24637;0740-2;-2,60714311;39,26755792;Mapa;728;MDT
2082000000;1020827;2810;2;Albacete;Villatoya;108;1867,36;21565;2082000201;Villatoya;77;0744-2;-1,33858599;39,33385264;Mapa;409;MDT
2083000000;1020833;2820;2;Albacete;Villavaliente;214;3484,1712;30502;2083000101;Villavaliente;214;0767-1;-1,45799642;39,12645758;Mapa;726;MDT
2084000000;1020848;2830;2;Albacete;Villaverde de Guadalimar;333;6907,9679;39421;2084000501;Villaverde de Guadalimar;209;0866-1;-2,518480636;38,456169;Investigación;799;Investigación
2085000000;1020851;2840;2;Albacete;Viveros;328;6536,6666;45479;2085000101;Viveros;328;0814-2;-2,57590915;38,77363475;Mapa;1012;MDT
2086000000;1020864;2850;2;Albacete;Yeste;2567;51148,57;121317;2086001401;Yeste;1393;0866-4;-2,31903072;38,36643865;Mapa;878;MDT
2901000000;1029010;2615;2;Albacete;Pozo Cañada;2797;11683,38;69208;2901000101;Pozo Cañada;2770;0817-1;-1,73622317;38,801361;Mapa;830;MDT
3001000000;1030015;3005;3;Alacant/Alicante;l'Atzúbia;609;1466,9574;18376;3001000101;l'Atzúbia;367;0796-3;-0,15173035;38,84743029;Mapa;99;MDT
3002000000;1030020;3010;3;Alacant/Alicante;Agost;4906;6663,5352;40007;3002000101;Agost;4033;0871-2;-0,63891979;38,43949316;Mapa;331;MDT
3003000000;1030036;3015;3;Alacant/Alicante;Agres;580;2583,659;20529;3003000101;Agres;446;0821-1;-0,51595543;38,78000404;Mapa;719;MDT
3004000000;1030041;3020;3;Alacant/Alicante;Aigües;1049;1847,2816;20622;3004000101;Aigües;644;0872-1;-0,36258669;38,49887092;Mapa;332;MDT
3005000000;1030054;3025;3;Alacant/Alicante;Albatera;12714;6154,27;34605;3005000101;Albatera;11830;0892-4;-0,86792141;38,17894636;Mapa;15;MDT
3006000000;1030067;3030;3;Alacant/Alicante;Alcalalí;1336;1439,7787;21582;3006000101;Alcalalí;361;0822-1,0822-3;-0,04160798;38,74965349;Mapa;226;MDT
3007000000;1030073;3035;3;Alacant/Alicante;Alcosser;243;438,7155;9164;3007000101;Alcosser;141;0821-1;-0,40197036;38,79447224;Mapa;345;MDT
3008000000;1030089;3040;3;Alacant/Alicante;Alcoleja;181;1455,8836;19193;3008000101;Alcoleja;165;0821-4;-0,33100925;38,67548564;Mapa;735;MDT
3009000000;1030092;3045;3;Alacant/Alicante;Alcoi/Alcoy;59128;12986,0503;58858;3009000101;Alcoi/Alcoy;57390;0821-3;-0,473163128;38,69764173;Investigación;564;Investigación
3010000000;1030106;3050;3;Alacant/Alicante;Alfafara;408;1977,7677;18603;3010000101;Alfafara;378;0820-2;-0,55552339;38,77274828;Mapa;580;MDT
3011000000;1030113;3055;3;Alacant/Alicante;l'Alfàs del Pi;20495;1925,9507;20927;3011000102;l'Alfàs del Pi;5473;0848-3;-0,1026002;38,58009496;Mapa;89;MDT
3012000000;1030128;3060;3;Alacant/Alicante;Algorfa;3396;1847,09;29362;3012000101;Algorfa;1685;0914-1;-0,79568423;38,08681637;Mapa;23;MDT
3013000000;1030134;3065;3;Alacant/Alicante;Algueña;1334;1847,39;29521;3013000101;Algueña;1258;0870-4;-1,00303745;38,33800138;Mapa;530;MDT
3014000000;1030149;3001;3;Alacant/Alicante;Alacant/Alicante;337304;20232,29;151886;3014000201;Alacant/Alicante;325302;0872-3;-0,4831832;38,34548705;Mapa;5;MDT
3015000000;1030152;3070;3;Alacant/Alicante;Almoradí;21404;4269,4;53678;3015000101;Almoradí;18990;0914-1;-0,79201713;38,10977991;Mapa;10;MDT
3016000000;1030165;3075;3;Alacant/Alicante;Almudaina;117;882,0194;12317;3016000101;Almudaina;112;0821-1;-0,35370678;38,76155764;Mapa;570;MDT
3017000000;1030171;3080;3;Alacant/Alicante;l'Alqueria d'Asnar;498;108,3702;9555;3017000101;l'Alqueria d'Asnar;472;0821-1;-0,42552267;38,77311802;Mapa;363;MDT
3018000000;1030187;3085;3;Alacant/Alicante;Altea;22657;3442,7986;30970;3018000102;Altea;14961;0848-1;-0,05144236;38,59892497;Mapa;60;MDT
3019000000;1030190;3090;3;Alacant/Alicante;Aspe;21088;7057,09;38464;3019000101;Aspe;18842;0871-3;-0,76849107;38,34577266;Mapa;234;MDT
3020000000;1030204;3095;3;Alacant/Alicante;Balones;134;1125;17176;3020000101;Balones;126;0821-4;-0,34237388;38,73701039;Mapa;670;MDT
