Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
06002,8180,4324,3856
06003,575,336,239
06004,1744,996,748
06005,1266,763,503
06006,2196,1501,695
06007,512,328,184
06008,248,203,45
06009,45,25,20
06010,425,265,160
06011,24515,17318,7197
06012,4178,2720,1458
06013,186,159,27
06014,3218,2053,1165
06015,73756,41506,32250
06016,832,541,291
06017,94,66,28
06018,385,284,101
06019,1293,866,427
06020,1099,796,303
06021,155,119,36
06022,596,452,144
06023,1394,979,415
06024,365,242,123
06025,2315,1593,722
06026,332,252,80
06027,372,228,144
06028,882,591,291
06029,1057,586,471
06030,37,20,17
06031,121,72,49
06032,12,7,5
06033,355,221,134
06034,196,144,52
06035,141,87,54
06036,1211,648,563
06037,415,275,140
06038,839,657,182
06039,425,289,136
06040,1622,1118,504
06041,257,206,51
06042,274,128,146
06043,305,140,165
06044,15110,8935,6175
06045,1079,737,342
06046,194,132,62
06047,241,110,131
06048,188,109,79
06049,373,274,99
06050,1316,871,445
06051,569,409,160
06052,1267,857,410
06053,536,340,196
06054,6393,4460,1933
06055,590,334,256
06056,101,75,26
06057,148,108,40
06058,2262,1501,761
06059,700,504,196
06060,8940,5746,3194
06061,138,72,66
06062,131,83,48
06063,895,639,256
06064,189,134,55
06065,396,237,159
06066,889,603,286
06067,525,359,166
06068,274,195,79
06069,1615,1107,508
06070,2318,1582,736
06071,104,64,40
06072,1066,656,410
06073,468,245,223
06074,1983,1240,743
06075,291,246,45
06076,1070,724,346
06077,433,261,172
06078,124,42,82
06079,337,237,100
06080,2572,1471,1101
06081,287,204,83
06082,220,139,81
06083,26328,15315,11013
06084,199,93,106
06085,1091,729,362
06086,489,340,149
06087,1018,647,371
06088,5123,3102,2021
06089,262,143,119
06090,601,470,131
06091,2289,1719,570
06092,382,250,132
06093,1495,836,659
06094,972,695,277
06095,9544,5154,4390
06096,105,67,38
06097,753,601,152
06098,179,127,52
06099,322,187,135
06100,202,162,40
06101,324,210,114
06102,346,202,144
06103,2630,1363,1267
06104,399,299,100
06105,325,206,119
06106,260,211,49
06107,550,280,270
06108,895,697,198
06109,708,465,243
06110,282,197,85
06111,217,135,82
06112,294,201,93
06113,2543,1733,810
06114,33,27,6
06115,383,229,154
06116,581,428,153
06117,774,537,237
06118,10,5,5
06119,228,133,95
06120,2109,1299,810
06121,3790,2610,1180
06122,4031,3263,768
06123,1328,1007,321
06124,475,338,137
06125,484,312,172
06126,3393,2391,1002
06127,946,577,369
06128,1827,1276,551
06129,196,115,81
06130,56,41,15
06131,1112,771,341
06132,573,261,312
06133,1565,1117,448
06134,275,181,94
06135,335,206,129
06136,1000,717,283
06137,179,126,53
06138,838,422,416
06139,898,705,193
06140,392,235,157
06141,518,372,146
06142,78,59,19
06143,1774,1122,652
06144,213,150,63
06145,254,140,114
06146,442,314,128
06147,143,94,49
06148,312,173,139
06149,7008,5485,1523
06150,308,201,107
06151,341,258,83
06152,2796,2083,713
06153,13369,7547,5822
06154,2710,1433,1277
06155,464,322,142
06156,1709,928,781
06157,130,86,44
06158,6547,4534,2013
06159,1512,1108,404
06160,876,519,357
06161,97,64,33
06162,867,575,292
06901,5616,3353,2263
06902,1057,639,418
06903,0,0,0
07001,331,182,149
07002,2134,1210,924
07003,7781,4242,3539
07004,491,281,210
07005,2806,1725,1081
07006,992,554,438
07007,76,48,28
07008,770,520,250
07009,106,72,34
07010,1095,666,429
07011,19830,10369,9461
07012,339,227,112
07013,1588,892,696
07014,4411,2340,2071
07015,8145,4060,4085
07016,388,207,181
07017,108,39,69
07018,212,129,83
07019,143,90,53
07020,393,233,160
07021,28,6,22
07022,2915,1637,1278
07023,975,600,375
07024,4050,2346,1704
07025,71,47,24
07026,22773,11868,10905
07027,4118,2179,1939
07028,81,57,24
07029,411,285,126
07030,207,154,53
07031,5105,2735,2370
07032,7867,3975,3892
07033,8862,4874,3988
07034,88,57,31
07035,177,125,52
07036,5193,2879,2314
07037,1639,923,716
07038,294,146,148
07039,4212,2414,1798
07040,129794,65613,64181
07041,501,264,237
07042,4059,2225,1834
07043,665,479,186
07044,1414,875,539
07045,126,87,39
07046,7156,4075,3081
07047,142,73,69
07048,9769,5711,4058
07049,334,190,144
07050,1268,822,446
07051,4166,2159,2007
07052,2104,1144,960
07053,135,84,51
07054,9215,5032,4183
07055,3345,1814,1531
07056,1102,645,457
07057,5697,3023,2674
07058,216,132,84
07059,955,544,411
07060,354,169,185
07061,1978,1188,790
07062,3741,2125,1616
07063,308,169,139
07064,762,484,278
07065,209,96,113
07901,115,91,24
07902,514,278,236
08001,6056,4050,2006
08002,138,43,95
08003,1368,508,860
08004,33,19,14
08005,1608,787,821
08006,1955,1004,951
08007,1752,1012,740
08008,66,42,24
08009,1815,1154,661
08010,1032,651,381
08011,366,182,184
08012,545,292,253
08013,696,542,154
08014,222,119,103
08015,34725,17221,17504
08016,376,208,168
08017,825,513,312
08018,764,394,370
