Codigo Municipio,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as
34010,15,70,20,65
39002,405,620,130,95
01002,745,1285,500,330
34011,20,40,25,60
47009,*,10,10,5
44024,*,*,*,*
40017,*,15,*,15
37029,*,25,15,20
28012,85,125,30,50
13017,40,30,20,25
31014,25,40,5,15
49009,45,60,20,20
46038,*,60,25,*
20009,1015,2075,635,365
44025,465,1380,320,250
31015,165,365,180,80
07005,1025,1060,520,285
23005,1940,4935,2115,1925
50028,*,25,*,*
17008,360,810,305,175
25027,100,150,75,40
19031,*,*,*,*
26013,25,35,20,30
22027,15,45,25,10
26014,35,70,30,15
19032,15,25,10,*
09017,15,15,5,*
39003,25,40,25,20
50029,60,135,40,*
46039,210,400,145,40
20010,145,275,45,45
19033,*,5,10,*
19034,*,*,*,*
22028,15,30,30,20
31016,880,1405,400,255
04016,205,425,175,145
27003,275,255,65,120
46040,100,280,95,*
29015,2200,5430,2245,2020
35003,725,1030,375,310
24005,15,50,35,50
34012,*,40,40,15
22029,20,20,15,*
20011,195,250,70,75
31017,20,35,10,10
01049,10,20,10,15
40018,*,20,10,*
50030,20,20,5,10
14006,75,170,125,115
31018,30,75,35,20
45014,305,775,180,295
37030,*,15,5,*
31019,140,315,150,100
37031,*,35,30,40
21007,405,945,470,310
38004,400,780,245,170
22032,*,25,*,*
41011,850,2520,1155,945
40019,*,*,*,*
31020,*,75,20,25
48005,10,10,5,*
31025,55,95,45,50
20012,*,30,15,*
01003,45,205,45,70
31021,*,10,*,*
42024,*,*,*,*
09018,2390,4535,1545,1360
50031,*,20,10,*
50032,*,60,30,10
09019,*,10,10,15
16020,*,*,*,*
15003,140,280,135,115
31023,490,965,260,205
28013,4090,7015,2715,1425
31024,*,*,*,*
31022,30,95,35,20
48006,35,50,20,*
19036,10,50,45,15
12013,10,35,15,*
37032,65,60,*,30
31026,10,30,15,*
46041,40,55,20,*
09020,20,40,15,25
09021,*,*,5,*
09022,*,10,*,10
19037,*,10,10,10
25029,230,375,110,80
19038,*,*,10,*
31027,55,130,65,40
36001,170,545,315,80
43016,485,590,145,265
04017,390,710,190,175
43015,10,15,10,*
17009,560,790,355,120
16905,80,175,55,15
31028,*,25,15,*
37033,5,15,10,*
49010,45,35,*,15
30009,960,2010,1060,850
29016,20,60,45,25
29017,470,1030,390,450
45015,50,100,60,*
37034,*,15,*,*
34015,*,*,*,*
40020,20,35,15,10
09023,100,150,35,*
42025,155,220,70,55
11006,1690,3235,1770,2130
49011,20,35,10,15
16022,10,20,5,*
44026,*,10,10,*
31029,100,120,65,55
29018,115,325,115,215
50033,*,15,*,*
24006,30,95,50,30
48093,80,165,40,45
31030,15,20,10,*
22035,20,50,15,10
05013,45,120,75,90
13903,25,105,45,30
29019,45,125,140,70
39004,130,265,100,100
13018,40,125,75,60
05014,395,995,340,335
18020,175,185,140,150
42026,*,*,*,*
09024,*,20,10,15
44027,10,40,10,*
08006,1410,1835,525,400
08007,705,1115,345,220
26015,15,45,25,*
26016,*,*,*,*
15004,505,655,350,260
12014,20,25,15,*
31031,*,40,10,*
20013,465,1020,315,180
05015,*,10,10,10
40021,*,5,*,*
05016,450,1125,285,375
42027,*,10,*,*
13019,375,900,465,255
13020,385,785,415,215
28014,4295,6285,2105,1160
24007,60,100,35,45
49012,10,10,*,*
22036,10,15,*,*
19039,*,10,*,*
17010,50,60,10,10
12015,10,10,*,*
08008,15,30,*,*
44028,20,35,10,5
43017,*,20,10,*
08009,980,1475,620,350
45016,435,770,190,80
39005,130,215,80,55
31032,165,350,90,85
22037,10,15,10,*
16024,*,20,*,10
49013,15,70,25,10
31033,*,*,*,*
07901,70,130,35,30
31034,*,*,*,*
38005,470,830,470,345
09025,15,20,10,*
44029,60,125,35,40
50034,85,150,35,75
23006,180,735,340,320
23007,140,480,260,210
09026,*,50,*,35
19040,*,*,*,*
31035,*,10,*,10
17011,80,130,35,*
