Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
02013,15,70
08018,800,575
34022,135,385
32005,30,440
22047,70,30
32006,105,690
07007,130,130
03021,1220,1530
43020,650,480
17015,4285,2720
15007,380,835
26024,30,110
24010,1830,2105
37039,30,120
44034,25,50
01011,45,70
23011,350,640
32007,50,745
10024,135,180
26026,275,360
26025,10,40
19048,*,10
09035,20,135
19049,*,15
09036,*,10
34024,*,15
16027,115,295
48013,23155,18830
27901,290,705
31901,5250,2375
42029,15,60
31045,160,70
32008,2060,1715
37040,55,130
09037,*,55
09038,15,50
09039,*,45
37041,*,35
31046,10,20
22048,3745,3310
11007,3260,4640
25041,145,150
43021,115,110
08252,7905,4240
50043,50,90
40025,35,40
22049,15,20
22050,10,25
42030,*,55
22051,*,45
06016,505,795
08019,447385,236695
34025,*,35
39009,930,675
39010,130,180
37042,*,30
16029,*,40
47013,10,45
49019,30,80
45018,140,120
05021,510,625
32009,2740,2980
42031,*,20
50044,50,80
39011,385,360
45019,2275,1190
31047,65,75
31048,35,40
24011,*,100
38007,325,430
25042,30,65
12020,25,50
44035,15,50
05022,270,545
10025,65,125
02015,165,615
27005,415,785
48014,380,140
09041,*,*
19050,*,15
09043,15,90
09044,*,20
24012,20,125
11008,4735,3035
36002,470,765
05023,35,50
37044,50,160
34027,270,390
47014,10,15
01013,175,180
46046,235,250
46045,215,395
31049,145,205
40026,40,20
48015,9010,8105
17016,205,160
09045,*,140
34028,25,45
09046,*,20
16030,*,15
25044,*,*
37045,*,15
43022,465,300
06017,30,110
28017,385,145
25045,*,25
04020,25,150
04021,40,70
42032,15,80
42033,*,25
18023,3890,3835
31050,1570,1370
44036,*,15
32010,75,110
16031,*,40
32011,130,435
21011,635,950
18024,120,250
18025,40,105
23012,750,1380
20019,3095,2555
05024,15,110
05025,10,40
44037,100,120
27006,230,1050
34029,110,230
28018,1295,685
47015,35,110
04022,175,310
48092,220,175
23902,330,920
23014,440,775
27007,305,965
08020,1750,515
17013,1170,510
31137,45,50
31051,70,60
04023,*,55
20020,25,40
37046,2265,3450
12022,35,160
14008,240,1075
31052,35,15
20021,40,70
09047,*,25
50045,300,350
37047,*,65
46047,100,185
25046,125,115
16032,50,80
25170,65,75
17018,125,145
25047,300,245
25048,535,340
43023,65,75
25049,35,35
44039,10,115
08021,*,*
25050,990,770
46048,685,1205
46049,65,85
43024,520,290
25051,380,665
25052,510,450
14009,470,705
23015,200,540
16033,355,510
34031,*,15
50046,15,90
33005,130,650
44038,10,55
28019,295,335
16034,20,85
09048,360,520
22052,240,275
49020,40,100
45020,195,560
10026,125,165
24014,1575,2250
22053,205,250
41015,1240,1205
29022,20,100
47016,10,30
12024,25,65
12025,15,70
46050,15,70
46051,2240,2360
04024,825,670
29023,1530,495
29024,65,145
29025,16255,9200
18027,425,810
18028,235,265
11901,1130,1430
29026,255,445
18029,335,685
14010,645,1200
29027,330,825
11009,120,195
29028,215,365
29029,55,165
12026,145,355
03022,15,70
22054,435,505
23016,85,180
25053,355,160
49021,3685,3650
24015,315,805
46052,130,125
49022,45,90
03023,325,355
46053,135,140
03024,1015,930
46054,3195,2940
03025,385,330
03026,320,420
03027,40,50
46055,315,420
03028,185,335
46056,60,*
12027,4415,5810
12028,3915,3270
46057,70,130
46904,190,180
03030,340,240
03031,14735,13175
30010,1470,2250
46060,2215,2505
46059,290,370
46058,440,485
43025,130,145
03032,15,40
03033,15,70
46061,95,80
46062,985,1355
03029,100,150
03034,805,610
03035,145,175
03036,15,25
03037,75,140
03038,65,105
03039,15,40
03040,60,105
46063,340,505
46064,95,175
46065,300,485
46066,295,295
46067,405,485
03041,3515,1500
43026,240,225
46068,60,85
46069,30,45
03042,1255,715
04026,*,50
04027,25,120
12029,155,305
10027,5,35
06018,130,290
04028,30,95
24016,*,245
31250,845,615
48016,1750,690
01014,90,115
22246,*,35
20022,225,155
42034,*,25
22055,90,80
09050,10,20
31053,115,165
26027,15,75
47017,25,60
47018,*,5
18030,95,225
40028,15,35
05026,25,100
24017,110,185
24018,35,60
40029,10,15
50047,*,35
08022,3465,3575
20074,3265,2700
26028,20,40
26029,*,20
44040,55,55
15008,1265,1215
31905,960,525
04029,1920,3175
05027,50,75
06019,285,715
42035,150,250
24019,25,155
09051,15,70
37049,10,80
48017,4040,3010
49023,110,385
40030,100,155
01016,100,180
19051,*,40
40031,170,135
05029,15,40
48018,265,180
31902,1565,585
31903,2260,1215
48019,970,895
20023,115,115
21012,35,110
37050,*,40
37051,*,35
10028,25,45
05030,10,15
47019,10,40
50048,*,20
28021,130,125
31054,120,120
10029,60,175
09052,*,20
28020,40,45
34032,*,20
17019,565,400
17020,1195,460
35007,115,210
15009,2585,2675
31055,55,80
46070,4805,3100
16035,45,115
12021,925,1375
17021,35,20
