Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio
Ávila,05,Santa Cruz de Pinares,05222
Ávila,05,Santa Cruz del Valle,05221
Ávila,05,Santa María de los Caballeros,05226
Ávila,05,Santa María del Arroyo,05224
Ávila,05,Santa María del Berrocal,05225
Ávila,05,Santa María del Cubillo,05902
Ávila,05,Santa María del Tiétar,05227
Ávila,05,Santiago del Collado,05228
Ávila,05,Santiago del Tormes,05904
Ávila,05,Santo Domingo de las Posadas,05229
Ávila,05,Santo Tomé de Zabarcos,05230
Ávila,05,"Serrada, La",05232
Ávila,05,Serranillos,05233
Ávila,05,Sigeres,05234
Ávila,05,Sinlabajos,05235
Ávila,05,Solana de Ávila,05236
Ávila,05,Solana de Rioalmar,05237
Ávila,05,Solosancho,05238
Ávila,05,Sotalbo,05239
Ávila,05,Sotillo de la Adrada,05240
Ávila,05,"Tiemblo, El",05241
Ávila,05,Tiñosillos,05242
Ávila,05,Tolbaños,05243
Ávila,05,Tormellas,05244
Ávila,05,Tornadizos de Ávila,05245
Ávila,05,"Torre, La",05247
Ávila,05,Tórtoles,05246
Ávila,05,Umbrías,05249
Ávila,05,Vadillo de la Sierra,05251
Ávila,05,Valdecasa,05252
Ávila,05,Vega de Santa María,05253
Ávila,05,Velayos,05254
Ávila,05,Villaflor,05256
Ávila,05,Villafranca de la Sierra,05257
Ávila,05,Villanueva de Ávila,05905
Ávila,05,Villanueva de Gómez,05258
Ávila,05,Villanueva del Aceral,05259
Ávila,05,Villanueva del Campillo,05260
Ávila,05,Villar de Corneja,05261
Ávila,05,Villarejo del Valle,05262
Ávila,05,Villatoro,05263
Ávila,05,Viñegra de Moraña,05264
Ávila,05,Vita,05265
Ávila,05,Zapardiel de la Cañada,05266
Ávila,05,Zapardiel de la Ribera,05267
Badajoz,06,Acedera,06001
Badajoz,06,Aceuchal,06002
Badajoz,06,Ahillones,06003
Badajoz,06,Alange,06004
Badajoz,06,"Albuera, La",06005
Badajoz,06,Alburquerque,06006
Badajoz,06,Alconchel,06007
Badajoz,06,Alconera,06008
Badajoz,06,Aljucén,06009
Badajoz,06,Almendral,06010
Badajoz,06,Almendralejo,06011
Badajoz,06,Arroyo de San Serván,06012
Badajoz,06,Atalaya,06013
Badajoz,06,Azuaga,06014
Badajoz,06,Badajoz,06015
Badajoz,06,Barcarrota,06016
Badajoz,06,Baterno,06017
Badajoz,06,Benquerencia de la Serena,06018
Badajoz,06,Berlanga,06019
Badajoz,06,Bienvenida,06020
Badajoz,06,Bodonal de la Sierra,06021
Badajoz,06,Burguillos del Cerro,06022
Badajoz,06,Cabeza del Buey,06023
Badajoz,06,Cabeza la Vaca,06024
Badajoz,06,Calamonte,06025
Badajoz,06,Calera de León,06026
Badajoz,06,Calzadilla de los Barros,06027
Badajoz,06,Campanario,06028
Badajoz,06,Campillo de Llerena,06029
Badajoz,06,Capilla,06030
Badajoz,06,Carmonita,06031
Badajoz,06,"Carrascalejo, El",06032
Badajoz,06,Casas de Don Pedro,06033
Badajoz,06,Casas de Reina,06034
Badajoz,06,Castilblanco,06035
Badajoz,06,Castuera,06036
Badajoz,06,Cheles,06042
Badajoz,06,"Codosera, La",06037
Badajoz,06,Cordobilla de Lácara,06038
Badajoz,06,"Coronada, La",06039
Badajoz,06,Corte de Peleas,06040
